"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","Overlap_Number"
"1","SPI1_CHEA","158/1056",2.32745903957292e-15,2.42055740115584e-13,0,0,1.88677442775803,63.5729761790083,"MDC1;DCLRE1C;TRAF3IP3;NCF1;GMFG;NCF4;LST1;NRM;IKZF1;TSEN54;DOCK11;ZNF609;FRAT1;CNST;MAEA;WDR90;AP1S2;TMEM8A;TMPO;SLC30A6;COG8;CD300A;ANKRD44;RNASE6;AP1B1;CNPY3;VRK3;THOC5;POR;TYROBP;DOK3;BTK;DUS3L;CSF1R;ANKRD16;TWF2;PLD4;CSF2RB;RASAL3;SAMSN1;RASGRP4;RHOBTB1;PIK3R5;INPP5D;PLCG2;DVL2;TBC1D14;LPXN;NCKAP1L;CD14;SLC15A3;ATG5;C16ORF54;VPS16;MPDU1;LYN;STK11IP;TRAPPC5;TRPV2;ARHGAP27;SSH3;ARHGAP25;CLK2;ARHGAP30;LPAR5;CLASRP;LRCH4;FERMT3;ARHGAP9;DENND1C;OGFR;ADPGK;MTMR14;DOCK8;RMND1;ITGB2;PLEK;PRKAG2;PIK3CD;ARRB2;TCIRG1;ITGAL;MED15;PPP1R18;CTSS;TCHP;ING4;LYL1;HHEX;MIS18BP1;CD37;CTBS;COLGALT1;GPSM3;CD53;MANBA;SYK;CHPF2;IRAK4;ARAP1;GMIP;VAV1;APBB1IP;ELF1;SLC7A7;AGPS;HCLS1;LCP2;IRF5;LCP1;SLC29A1;ACPP;EIF4E2;DOCK2;HCST;TOR4A;VAC14;SDCCAG3;CANT1;UNC93B1;TM2D1;ATL1;HM13;PTAFR;AIF1;PRAM1;TSPAN32;PTGS1;FGD2;GGA1;NXF1;MNT;CYTH4;RAB20;SH3TC1;POLD1;TDG;UCP2;TNNI2;MGAT1;NT5M;E2F4;LRRC25;PTPN18;MBD6;LAPTM5;APOBR;UBE2G1;MYO9B;RPRD2;LYRM2;FMNL1;DHRS9;CAPN10;LPCAT2;ALOX5AP;RGS10;PTPN6",158
"2","SPI1_ENCODE","206/1540",1.65007132820831e-14,8.58037090668321e-13,0,0,1.68683775241152,53.532424901808,"RB1;SMARCAL1;PANK2;TRAF3IP3;TSEN54;FAM110A;ZC3H12D;RPS6KA3;CNST;FRAT2;CHEK2;AP1S2;TMPO;ABT1;DDX18;MED1;COG8;BROX;PRKCD;AP1B1;RNASE6;PRKAB1;POR;SCO1;C7ORF43;BTK;PCBP1-AS1;MPPE1;SAMSN1;PIK3R5;MBTD1;MICAL1;INPP5D;NCKAP1L;CD14;ARSB;ATG5;VPS16;LYN;STK11IP;RCC2;SIGLEC10;ABCA7;FAM220A;CCDC88B;PARVG;SPRTN;FERMT3;ARHGAP9;DET1;PHF20;MTMR14;HEXB;MED15;CTSS;IKBKB;GPR132;MIS18BP1;RAC2;CD37;IKBKG;CTBS;CD33;CTSB;HAVCR2;ZNF485;CD53;NDC1;SYK;GMIP;ITFG2;VAV1;PALD1;APBB1IP;TLR1;LAT2;MS4A6A;HCLS1;ANGPTL5;AIDA;HCST;PLCB2;TOR4A;SDCCAG3;SELPLG;ATL1;PROCA1;LILRA2;LILRA4;FGD2;GGA1;MNT;GPNMB;SLC17A9;EXOSC9;UCP2;SLC17A5;LCMT2;MAP4K5;LRRC25;CARD9;LAPTM5;NUDT22;TMEM156;NUPL2;TOR2A;DCLRE1C;NCF4;PYCARD;DOCK11;ABHD11;PMPCA;IL6R;SLC30A6;SZT2;RNF44;USP4;CD300A;STX7;FAM118A;CNPY3;PHOSPHO1;TYROBP;SHQ1;DOK3;MFNG;WDFY4;DSC2;FBXO48;ADRB2;CORO1A;RASGRP4;RNF5P1;BRIX1;SLC15A3;C16ORF54;MPDU1;CCDC137;TRPV2;EPHX3;FBXO34;ARHGAP25;FANCF;PTPRC;UBLCP1;ATG16L2;MAN2B1;HPSE;CLASRP;SP140L;GALK1;ITGAM;PLEK;PIK3CD;TCIRG1;ARRB2;ITGAL;SLC2A5;SLC2A6;BICD2;PIK3CG;ADAL;LYL1;MRPL1;PSD4;MAN2C1;ARL5A;RFC5;CHPF2;MSL3;TRPT1;URB2;IRAK4;PTBP3;ELF1;DALRD3;LCP2;MCM5;LCP1;EIF4E2;DOCK2;VAC14;RGS19;UNC93B1;TM2D1;NLRC4;LTC4S;CYTH4;RAB40C;SH3TC1;PCED1A;TNNI2;E2F4;MLXIP;KDM4B;ATP13A1;TXNRD2;NAGA;APOBR;RPRD2;SMUG1;ALOX5AP;MNDA;TRIM38;PIK3AP1;METAP1",206
"3","ELF1_ENCODE","243/2483",0.000209990470334682,0.00727966963826898,0,0,1.23411709079496,10.4510569123779,"POP4;NUDT1;GPATCH1;DCAF4;CNST;WDR92;ALKBH1;ZNF846;AP1S2;ZNF845;CCNL2;ZNF169;MEF2A;ABT1;DDX18;COG8;NHLRC3;TANGO2;BROX;SLC35C1;METTL3;PRKAB1;SCAMP2;SCO1;C7ORF43;ZSCAN21;PCBP1-AS1;MPPE1;CGGBP1;ZSCAN29;TMEM87A;STXBP2;PIK3R1;TRMT2B;RPAP1;ZNF26;ZMPSTE24;RHOT2;ZNHIT3;DHX37;INPP5K;ATG5;VPS16;RPL23AP7;PMM1;INTS1;PPP1R21;STK11IP;EDEM2;PMM2;LARP7;TMEM192;NARFL;TBL3;CWF19L1;SPRTN;CREBRF;NOL11;CEP89;ATR;ZNF133;DET1;MTMR14;PAK1IP1;NKAP;MED19;CYB561D1;MED15;MED18;IKBKB;ING4;MIS18BP1;TMED3;ZNF485;NDC1;NSUN5;ZDHHC13;ZDHHC16;ITFG2;COMMD4;GAK;LSG1;PTRH2;AIDA;CDC123;ASAH1;AP5Z1;URM1;SDAD1;GGA1;RECQL5;EXOSC9;MFN1;METTL4;MGAT1;LCMT2;BCL2L2-PABPN1;ORAOV1;DEDD;ZNF461;APEX2;RPA2;MYO9B;TRMT1;NOC3L;NUDT22;TM9SF2;LYRM2;OSTM1;SHKBP1;SNX14;RFWD3;CYP20A1;C18ORF32;PRPF31;NUPL2;DCLRE1C;AUP1;WASH2P;THG1L;HMGN5;MAEA;APMAP;FPGS;NFATC2IP;NUDT18;ZNF687;ZNF202;RAB2A;SLC30A6;SZT2;AREL1;HARBI1;DNAJB12;CNPY3;VRK3;THOC5;ATAD3A;INIP;PLA2G15;ZNF92;SHQ1;ZNF557;INO80B-WBP1;CARS2;ZNF431;KLHL18;CUL9;RNASEH2B;ANKRD16;ANKRD11;CLEC16A;SLC38A10;SLC1A5;TMEM245;NDOR1;STK36;TMEM127;DPP9;TBC1D14;LPXN;THEM4;BRIX1;ZKSCAN4;IP6K2;MPDU1;OSBPL7;KLHDC4;TOR1A;ODF2;CCDC137;PHF11;ASPSCR1;HPS3;B3GALT6;LSM5;FBXO33;NMRAL1;FANCF;KLHL20;UEVLD;CDK9;SP3;TUBGCP6;RNF185;BCL2L2;WRAP53;CREBZF;SCYL3;ADPGK;ZC3H3;RMND1;RABEPK;ADAL;TMEM223;MRPL1;SNRNP70;MFSD1;ZNF765;MAN2C1;EIF2B1;MYBL1;ABCD1;ELAC2;FAM207A;TRPT1;IRAK4;WRAP73;RBL1;RABEP2;POLR1C;MCM3;ATG4B;MCM5;EIF4E2;VAC14;USP16;ATF6B;ZNF195;TM2D1;LENG8;RNU11;NCLN;HAUS8;TAF1C;TDG;MKNK1;PCED1A;E2F4;CCDC71;POLR2M;C2ORF76;TAF12;ATP13A1;RNF25;ZNF181;ZNF180;SMUG1;RPIA;CAPN10;ALDH16A1;TRIM38;ZNF850",243
"4","RUNX1_CHEA","136/1294",0.000375087661874363,0.00975227920873344,0,0,1.32535263150714,10.454846483496,"SMARCAL1;ZNF692;ANKRD13D;GMFG;FHOD1;ZMYND8;ARHGAP39;IKZF1;TSEN54;CMIP;POFUT2;NFATC2IP;IL6R;AP5S1;CD300A;SLC35C1;METTL3;RNASE6;ALG3;CNPY3;VRK3;RUNX2;SAP30;GTPBP3;POLG2;MFNG;NINJ1;NEIL1;DUS3L;TMEM87A;PDGFB;FAM109A;CSF2RB;CSF2RA;ZBTB3;DNAJC28;CALHM2;AMDHD2;MICAL1;LPXN;NLRP3;SLC15A3;ATG5;B4GALNT4;VPS16;HEXIM2;TOR1A;TGFB1;SIVA1;RCC2;BCDIN3D;FBXO34;ARHGAP27;SSH1;DAP;ARHGAP30;CNOT11;TBXAS1;NABP1;ADCK5;GRB2;RCOR1;PLEKHM3;LGMN;ARHGAP9;ZNF133;PHF20;C2CD2;MTMR14;DOCK8;POMT1;ITGB2;WDR41;TNFRSF13C;ITGAL;USP39;PPP1R18;SLC2A6;PTPRF;ING4;RPTOR;HEBP1;LYL1;ING5;SNRNP70;PSD4;HMG20A;LBR;GPSM3;NDC1;FCER1G;KLF13;NCOA5;TEX10;AKR1A1;TMC8;ARAP1;VAV1;PALD1;IL17RA;LAT2;RCN3;LCP2;LCP1;HCST;B4GALT7;RNF166;SASH3;SDCCAG3;SELPLG;WAS;AOAH;LTC4S;ADCY7;TSPAN32;NCLN;CYTH4;RAB40C;SH3TC1;RAB24;SUSD3;NT5M;E2F4;LRRC25;PTPN18;IL10RA;LAPTM5;KIAA0232;DEF6;CAPN10;ALOX5AP;RGS10;BAX;ALDH16A1;PRPF31;MYO1F",136
"5","IRF8_CHEA","20/121",0.00130499177488831,0.0271438289176768,0,0,2.08435379821371,13.8433577709815,"CD53;TMEM87A;CD74;CIITA;NCF4;ZBTB32;LY86;AIF1;CTSS;LSG1;MNT;HLA-DMB;UCP2;BLNK;CASP1;LPXN;HLA-DRA;CD37;IRF5;SLC15A3",20
"6","MAX_ENCODE","198/2073",0.00270977793520464,0.0469694842102137,0,0,1.20446088513276,7.11943410324561,"POP1;LRR1;DCAF4;PDCD2L;CNST;FRAT2;WDR92;AP1S2;DDX18;COG8;ST6GAL1;NHLRC3;IMP3;SLC35C1;METTL3;RSAD1;ALG3;AP1AR;PRKAB1;RRAGC;ARMC6;ULK3;PCBP1-AS1;DUS3L;TELO2;ATP5S;FBF1;MBTD1;PTDSS2;DPH1;DHX37;INPP5K;ATG5;VPS16;INTS1;RCC2;PMM2;TMEM192;CREBRF;ADCK5;RAD17;CC2D1A;ATR;PHF20;C2CD2;PAK1IP1;SETD6;NANP;ING5;MIS18BP1;TMED1;NANS;RRP15;CTSC;NDC1;MAP4K1;TIGD5;NSUN5;TEX10;AKR1A1;MRPS2;AEN;MED22;DEPDC7;LSG1;PTRH2;MIR17HG;GART;RNF166;GRN;CDC123;SDCCAG3;MRPS35;AP5Z1;FAM35A;SDAD1;GGA1;EXTL2;MNT;TWISTNB;UCP2;PMS2;LCMT2;BRD8;PNPLA7;RPA2;UBE2G1;TRMT1;NOC3L;GID4;CMSS1;OSTM1;CYP20A1;NCAPD2;NUPL2;FAM49B;DCLRE1C;AUP1;THG1L;FPGS;MACROD1;PMPCA;MTPAP;ZNF566;ZNF202;SH3GL1;PNISR;RNF44;USP4;CNPY3;THOC5;PUS7;ATAD3A;THOC6;SAP30;ACAP3;SHQ1;DNAJC30;MRTO4;SRSF6;CARS2;ANAPC1;CEP104;UBIAD1;RNASEH2B;TXNDC9;KLHL17;SLC1A5;AMDHD2;DVL2;LPXN;THEM4;BRIX1;UTP20;IP6K1;MPDU1;TOR1A;CCDC137;ASPSCR1;HPS3;NMRAL1;UCKL1;FANCF;CLK2;NABP1;DEGS1;WRAP53;PLEKHF2;USP31;RMND1;ARRB2;SLC2A4;RABEPK;ADAL;MRPL1;MFSD1;MAN2C1;EIF2B1;SLC37A4;COA7;UTP15;ABCC4;ELAC2;SMIM19;URB2;IRAK4;DCK;QTRT1;GFOD1;EEF1D;POLR1A;POLR1C;LUC7L3;SLC25A10;NUP54;EIF4E2;VAC14;NUFIP1;HM13;ZBTB49;FOXK2;TDG;PCED1A;RAB24;E2F6;MLXIP;TAF12;MCOLN1;CLCN7;RPIA;FMNL3;NAGK;TEF;TAF8;BAX;OTUD1;CLUAP1;TRMT61A",198
"7","GATA2_CHEA","81/772",0.00571727470176195,0.0849423669976061,0,0,1.32310567203967,6.83286571731072,"ZNF692;SPI1;ZMYND8;DOCK8;IKZF1;RCSD1;SLC2A6;PTPRF;FAM110A;LYL1;HHEX;ZNF609;MRPL1;CHEK2;CCRL2;ARHGDIB;RAC2;MFSD1;BAHCC1;IL6R;CMKLR1;GPX1;PRKCB;RNASET2;MMP2;MKL1;SLC35C1;SPNS2;PRKAB1;PALD1;GFOD1;RABEP2;TAL1;NINJ1;MCM3;IRF8;VAMP4;CEBPE;URM1;PTAFR;CLEC16A;FOXK2;CSF2RB;PIK3R1;SLC1A5;TSPAN32;RASGRP4;C12ORF65;PTGS1;SLC9A1;FAM124B;RAB20;HLX;DHRS7B;INPP5D;GRK6;PLCG2;MARK4;KDM4B;ANKRD27;ATP8B2;PPP1R21;TXNRD2;LAPTM5;ZNF180;BCDIN3D;MAPK14;IFFO1;SSH1;MLXIPL;FAM212B;LPAR5;NABP1;GRB2;DEGS1;MNDA;MAN2B1;TCF3;PIK3AP1;ZNF354A;PLEKHM3",81
"8","ZC3H11A_ENCODE","19/129",0.00633302681579216,0.0823293486052981,0,0,1.85733696980361,9.40179699855016,"ACBD4;SFSWAP;HARBI1;TANGO2;ATL1;FAM207A;MYO7A;POU2F2;PTPRF;FAM220A;POLA2;CMSS1;APMAP;ERCC1;TBC1D14;MAP4K5;B4GALT7;TELO2;RNF166",19
"9","SIN3A_ENCODE","109/1131",0.0184880379960459,0.21363955017653,0,0,1.21532016996643,4.84989477157473,"GPATCH1;DCAF4;TSEN54;EDC3;ENDOV;CNST;WDR92;SESN1;ABT1;SLC30A6;DDX18;RNF44;AREL1;RSAD1;ALG3;THOC5;SAP30;THOC6;POR;SHQ1;POLG2;RRAGC;KLHL18;TMEM87A;UBIAD1;LRRC57;TXNDC9;FBF1;RTF1;SLC1A5;MBTD1;NDOR1;STK36;DPH1;AMDHD2;SLC38A7;DHX37;DVL2;INPP5K;BRIX1;UTP20;TOR1A;STK11IP;RCC2;PMM2;LARP7;KLHL20;UEVLD;TBL3;CREBRF;RAD17;WRAP53;ATR;ADPGK;PAK1IP1;RMND1;RABEPK;MIS18BP1;MFSD1;MAN2C1;EIF2B1;RRP15;UTP15;RFC5;TIGD5;MRPS2;AEN;URB2;COMMD4;QTRT1;GAK;LSG1;EEF1D;PTRH2;POLR1C;MCM3;NUP54;RNF166;KDM7A;VAC14;GRN;CDC123;USP15;NUFIP1;AP5Z1;URM1;ZBTB49;ANKS3;SDAD1;RNU11;NXF1;EXTL2;MNT;HAUS8;PMS2;BRD8;TAF12;RNF25;MYO9B;TRMT1;CLCN7;RPIA;FAM212B;NAGK;CMSS1;NCAPD2;PRPF31;CLUAP1;TRMT61A",109
"10","GATA1_CHEA","79/807",0.0295695457760616,0.307523276071041,0,0,1.23446951407217,4.34657988174721,"RERE;RYR1;SPI1;CSF3R;C2CD2;ZMYND8;PLEK;PRKAG2;KIAA1551;IKZF1;ELAVL1;PTPRF;CMIP;FAM110A;RPTOR;LYL1;HHEX;GPR132;WDR92;SLCO2B1;CCRL2;ZNF846;RPS6KA1;RAC2;MACROD1;BAHCC1;IL6R;AP5S1;LBR;CTSB;SH3GL1;ABCC4;ST6GAL1;GPX1;PRKCB;USP4;MKL1;CD180;FAM118A;SORD;PRKAB1;ELF1;GFOD1;RIN3;MPPE1;TTLL12;SLC29A1;DAGLB;DUS3L;PLCB2;SASH3;ASAH1;CEBPE;CLEC16A;SLC38A10;PIK3R1;PPOX;RPAP1;SAMSN1;PRAM1;TSPAN32;BLOC1S4;UCP3;INPP5D;PLCG2;HEXIM2;ANKRD27;TXNRD2;LY86;LAPTM5;NFATC2;KIAA0232;CCDC88B;FAM212A;SP4;TBXAS1;UBE2O;NABP1;DEGS1",79
