"","other","myeoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","myeoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.786947582169817,0.879849245585894,0.915262569369144,0.972221579174554,0.842036110748984,0.879849245585894,0.828250291627242,0.891741566051591,0.820947552888885,NA,0,0,0,0,0,0,0,0,0
"myeoligo",0.786947582169817,1,0.930295902960649,0.539481941770444,0.862951253876714,0.503274680747746,0.930295902960649,0.488740904013349,0.551469661758057,0.458930648586197,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.879849245585894,0.930295902960649,1,0.615498957163938,0.947762091415806,0.555442499249092,1,0.541082961676623,0.639646984219145,0.532728912877883,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.915262569369144,0.539481941770444,0.615498957163938,1,0.812320004313638,0.931775968922637,0.615498957163938,0.920835901597631,0.938331182850336,0.91253474189258,0,0,0,NA,0,0,0,0,0,0
"No_data",0.972221579174554,0.862951253876714,0.947762091415806,0.812320004313638,1,0.69616509278345,0.947762091415806,0.680574917251173,0.819849412582887,0.764519415592841,0,0,0,0,NA,0,0,0,0,0
"5_months",0.842036110748984,0.503274680747746,0.555442499249092,0.931775968922637,0.69616509278345,1,0.555442499249092,0.993346012713934,0.837143793178138,0.729769051039131,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.879849245585894,0.930295902960649,1,0.615498957163938,0.947762091415806,0.555442499249092,1,0.541082961676623,0.639646984219145,0.532728912877883,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.828250291627242,0.488740904013349,0.541082961676623,0.920835901597631,0.680574917251173,0.993346012713934,0.541082961676623,1,0.79961911812668,0.726222164854696,0,0,0,0,0,0,0,NA,0,0
"brain",0.891741566051591,0.551469661758057,0.639646984219145,0.938331182850336,0.819849412582887,0.837143793178138,0.639646984219145,0.79961911812668,1,0.817782585985766,0,0,0,0,0,0,0,0,NA,0
"blood",0.820947552888885,0.458930648586197,0.532728912877883,0.91253474189258,0.764519415592841,0.729769051039131,0.532728912877883,0.726222164854696,0.817782585985766,1,0,0,0,0,0,0,0,0,0,NA
