"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Epcam",5.87350393550938,1.84524763423645,68.5769506895255,1.22022012486239e-16,2.69949298223306e-12,"newoligoBYo",58.6274310028374
"Casr",5.17263981436806,1.70245100058391,42.3583882856666,7.59897174284721e-11,8.40560259335044e-07,"newoligoBYo",36.0678073160137
"Pycr1",3.8258029338705,3.6909952991604,36.3862416340853,1.61841638739278e-09,1.04956421157077e-05,"newoligoBYo",14.1801701026883
"Fyn",3.26984674258254,3.38683637565718,36.0760090604283,1.8976887611459e-09,1.04956421157077e-05,"newoligoBYo",9.64543793274215
"Tmem2",2.994284666371,2.78512134166014,32.9652562117786,9.38206144867976e-09,4.15118690858285e-05,"newoligoBYo",7.96837015412241
"Kif19a",4.50433137513082,3.6677539771193,31.6360845926786,1.85942201449403e-08,6.85599887110857e-05,"newoligoBYo",22.6954529302504
"Rap2a",3.00075706948992,5.33731174446933,30.7921291180027,2.87200396169302e-08,9.07676337779066e-05,"newoligoBYo",8.00419918634676
"Dct",3.99232359913997,1.82531232986155,28.4502543989636,9.61371333225116e-08,0.000265855225061741,"newoligoBYo",15.9150920827495
"Ust",3.39679366285705,1.93977781955147,27.4518819625705,1.61052071793469e-07,0.000395883887142991,"newoligoBYo",10.5326288710049
"Cdv3",2.43714647664194,5.83052996074948,27.0095414622382,2.02453632125502e-07,0.000447888170351249,"newoligoBYo",5.41569494310844
"Mical3",3.01583533671975,2.2899000718694,26.4344175648172,2.72638987825478e-07,0.000548326575242096,"newoligoBYo",8.08829342956875
"Slc12a2",3.01833342837675,4.1732770496077,26.1982110383969,3.08107831520166e-07,0.000568022463060054,"newoligoBYo",8.10231080750191
"Brca1",2.99150947987898,1.83979164488343,25.6796635425902,4.0305209403259e-07,0.000685901652021769,"newoligoBYo",7.95305682933054
"Strn",2.65081009786387,3.18468891114244,24.5002353026795,7.43007627926894e-07,0.00117411126804476,"newoligoBYo",6.28019823166813
"Col20a1",3.16243426463377,2.26626513899929,23.9276597601907,1.0002427170061e-06,0.00147522464188839,"newoligoBYo",8.95339145686157
"Ubl3",1.99800192037599,5.82239735074918,23.4533113386796,1.27982245862154e-06,0.00175368504593131,"newoligoBYo",3.99446398144438
"Matn1",4.663685288654,2.27922707933512,23.3540624180392,1.3475860317693e-06,0.00175368504593131,"newoligoBYo",25.3459843409809
