"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Rab3il1",6.26307396546443,5.17801068547474,215.33177817856,9.43388356538153e-49,2.08705806116936e-44,"microgliaBYo",76.8021059345194
"Gpr84",6.91047571811098,5.73558262269738,203.621132481267,3.3857449337039e-46,3.74514175841657e-42,"microgliaBYo",120.298572932386
"Ccl12",7.80482659105315,7.24900521321983,202.112874377838,7.22382506484458e-46,5.32708939698522e-42,"microgliaBYo",223.60778254838
"Crybb1",6.89028899796307,5.8814429964292,198.235003259836,5.0699307952805e-45,2.80405197459976e-41,"microgliaBYo",118.627032686591
"Fam167b",6.09336827186308,4.97736329620317,185.908639309291,2.48563140474832e-42,1.09979247134494e-38,"microgliaBYo",68.2789170761174
"Tnfrsf17",5.41341010351607,3.33133871277126,184.373046406106,5.3785920904525e-42,1.98317654695134e-38,"microgliaBYo",42.6185647443702
"Slc2a5",7.89010682267545,5.79351582961432,175.621008259509,4.38122720893091e-40,1.38465556490255e-36,"microgliaBYo",237.224108176695
"Ctsd",5.01436413694173,8.52692960287192,172.312200732624,2.31301390715803e-39,6.39635083350713e-36,"microgliaBYo",32.3201981276747
"mt-Tl1",11.9289409317769,7.80167447689999,168.976927773139,1.23771178153012e-38,3.04243308253231e-35,"microgliaBYo",3899.14186748033
"Lag3",6.81695311980199,6.35764937619305,167.918443156747,2.10773158772194e-38,4.66293459151724e-35,"microgliaBYo",112.7476161088
"Capn3",5.08995124386079,3.31896829016778,164.688627283018,1.06986515536973e-37,2.15169334838587e-34,"microgliaBYo",34.058694799322
"Cd83",6.23617810469034,7.78063213486789,162.165683653664,3.80620164020105e-37,7.01704990718065e-34,"microgliaBYo",75.3835642690231
"Spint1",6.61250163460106,4.07139686858868,161.710096713001,4.7865745501268e-37,8.14564529018886e-34,"microgliaBYo",97.8501145461803
"Tmem52",6.09347610845233,4.38507170435142,160.155948403618,1.04610575095852e-36,1.65307125203252e-33,"microgliaBYo",68.2840208856624
"Rrad",3.91690958785946,5.51972872158438,153.458863376127,3.04081458761368e-35,4.48479607478516e-32,"microgliaBYo",15.1045320920247
"Asb2",5.25465779602919,2.47441245375209,148.582821482911,3.53777926643395e-34,4.8916431694574e-31,"microgliaBYo",38.1776870427116
"Slc37a2",4.21699588556319,4.07566882315803,146.586034049386,9.66556146661161e-34,1.18795120181027e-30,"microgliaBYo",18.5969726833168
"Asb10",5.71514469621534,2.2565531346989,143.422120978147,4.75266382362552e-33,5.53385167210881e-30,"microgliaBYo",52.5327315106125
"Olfml3",8.42466950973698,7.55624913631269,142.981867135482,5.93192399020083e-33,6.56159772176064e-30,"microgliaBYo",343.619835814865
"Myadml2",4.68165153406168,3.72431341424596,142.024398856721,9.60608402713492e-33,1.01197808063003e-29,"microgliaBYo",25.6635978358212
"Gm10790",5.74319055268049,3.31727533311404,140.063776842604,2.57790698849977e-32,2.47961027419914e-29,"microgliaBYo",53.5639538479748
"mt-Tr",9.66119420374639,5.48359033165928,139.820457188355,2.91390762788239e-32,2.68601576881842e-29,"microgliaBYo",809.672239487782
"Slco4a1",4.97144589470946,3.57856355095565,138.79526696869,4.88279935433359e-32,4.32088680463688e-29,"microgliaBYo",31.3728762282359
"Hspb3",7.06358420918421,5.13578216219373,136.726174927194,1.38414721480092e-31,1.17774957050157e-28,"microgliaBYo",133.767534900632
"Gm13889",6.2599078378313,8.6229669113636,135.798387244763,2.20854574459832e-31,1.80961694473143e-28,"microgliaBYo",76.6337414266025
"Slamf9",3.93575535180274,5.58640442740022,134.955683764969,3.37621100270096e-31,2.66756842902691e-28,"microgliaBYo",15.3031352464746
"Zfp691",3.20073367190138,4.4349429982245,134.502925140445,4.24095965686731e-31,3.23526725823709e-28,"microgliaBYo",9.19426132493844
"Tmem119",7.77143050593519,9.63881071025007,133.432116755907,7.27273744560522e-31,5.36315901697081e-28,"microgliaBYo",218.491069993726
"Ntpcr",2.86692972566731,4.7239721160737,133.083961878064,8.66678246304425e-31,6.18500736870735e-28,"microgliaBYo",7.29510996737347
"Cryba4",4.98777371503572,4.23293531120593,130.337635846238,3.45681923858364e-30,2.38985037547456e-27,"microgliaBYo",31.7299581879125
"Rnase4",5.99597129380659,7.38213625872489,128.877874953285,7.21222213089464e-30,4.71069736959483e-27,"microgliaBYo",63.8215301775327
"Trem2",5.85951648293186,7.7116445750931,128.870329453816,7.23969220115827e-30,4.71069736959483e-27,"microgliaBYo",58.061763366588
"mt-Tl2",9.50273175923119,5.38734629313157,128.65352243114,8.07531193665534e-30,5.10428931356075e-27,"microgliaBYo",725.449691369592
"Upk1b",6.34029234739506,3.21246918311214,127.955066491532,1.14813098579675e-29,7.05558383299488e-27,"microgliaBYo",81.0248392056477
"Npl",3.90318240286582,3.03704263068687,127.299295878221,1.59767751593371e-29,9.55281613108145e-27,"microgliaBYo",14.9614946566219
"Rtn4rl1",4.66387112674433,2.85363187120375,124.524000387093,6.46919392793287e-29,3.76626255967524e-26,"microgliaBYo",25.3492494473119
"Fcrls",7.73046637847396,8.27044900226152,123.682581455294,9.88579061421606e-29,5.60777809636672e-26,"microgliaBYo",212.374446691761
"Hexb",5.88825678710057,8.93302095946083,120.669788531081,4.51337886463349e-28,2.43535318590943e-25,"microgliaBYo",59.2300248826971
"Lpcat2",3.71069042418749,5.48263952555491,120.515417817058,4.8786145434405e-28,2.56975213201272e-25,"microgliaBYo",13.0926971520787
"Lefty1",4.35681180780861,4.14368592550124,119.563472454794,7.88321362893931e-28,4.01959420654014e-25,"microgliaBYo",20.4894848584113
"Lgmn",3.88080369004045,8.00903054763799,119.374119107158,8.67280313306937e-28,4.26374274917541e-25,"microgliaBYo",14.7312065186565
"Ch25h",5.35555460582577,4.04103337892737,118.341216403912,1.45984934964406e-27,6.7625332957743e-25,"microgliaBYo",40.9432751316103
"Gpr157",4.92817759223709,3.17378982135769,118.331174983653,1.46725850109464e-27,6.7625332957743e-25,"microgliaBYo",30.4459324318998
"Mymk",4.83442707531447,2.35218049035987,115.874879372569,5.06249629829976e-27,2.23734175322797e-24,"microgliaBYo",28.530380354552
"Lair1",3.23109157011621,4.92330517679329,113.377412257228,1.78375423195216e-26,7.58884516797646e-24,"microgliaBYo",9.3897813914841
"Hspa1a",4.00218883092307,6.99085429287308,111.014563378449,5.87376148396195e-26,2.45179670395642e-23,"microgliaBYo",16.0242933357745
"Ccl4",7.28279540116917,10.0729618207484,109.951186885382,1.0043367795549e-25,4.11461899520242e-23,"microgliaBYo",155.718376810134
"Parvg",4.83699237773947,5.30306687222275,103.926522288294,2.09959959990785e-24,8.14902490329148e-22,"microgliaBYo",28.5811562706832
"Rhoh",4.13856948315923,4.12735429786128,103.218798200602,3.00105014817741e-24,1.10653720713548e-21,"microgliaBYo",17.6130088602763
"Rnase10",5.10006141338403,2.62882082129856,103.184589073279,3.05331996912833e-24,1.10735406027911e-21,"microgliaBYo",34.2982107939523
"Rhob",3.94169632299014,11.2086680720237,102.766564580938,3.77059892474641e-24,1.34543483890588e-21,"microgliaBYo",15.3662829899099
"Fam46c",3.93203982239129,4.09431637691862,102.704617128436,3.89036688609921e-24,1.36613629557417e-21,"microgliaBYo",15.2637741255185
"mt-Th",9.96335100447087,6.17579396615026,102.629922703881,4.03985049872904e-24,1.39646269661535e-21,"microgliaBYo",998.314800242343
"Pla2g15",4.372820885964,6.80843620201641,102.087383293473,5.31258303868643e-24,1.78076173583121e-21,"microgliaBYo",20.7181156184409
"Serpinf1",5.39777017720532,4.35761194014505,101.756711267169,6.27771453334255e-24,2.0423805679579e-21,"microgliaBYo",42.1590419420581
"Aif1",4.32622110644361,6.9403609393671,100.240796299926,1.34950976291156e-23,4.32684122969455e-21,"microgliaBYo",20.0596024122633
"Cx3cr1",5.20642174286264,5.53907559233795,98.9421406629539,2.59987769023359e-23,7.98848529736635e-21,"microgliaBYo",36.9223312849751
"Il21r",4.3570726631908,3.68969082827584,98.1098948522574,3.95796154852195e-23,1.18327004510745e-20,"microgliaBYo",20.4931899211447
"Havcr2",4.1935284139512,5.21190569220218,98.0534534052762,4.07239791364773e-23,1.20124878724838e-20,"microgliaBYo",18.2969137251985
"Tmem206",2.52732018499756,4.56577266175031,96.9536480337232,7.09694489825012e-23,2.03903522057127e-20,"microgliaBYo",5.76499831017656
"Galnt12",3.81437264631215,2.67796886946053,96.7538782925312,7.85036705213126e-23,2.19840088980127e-20,"microgliaBYo",14.0682663207973
"Liph",4.90547348379671,2.22738413992525,96.3854506628628,9.45594908479807e-23,2.61492452003735e-20,"microgliaBYo",29.9705464562842
"Blnk",4.24649335552296,3.80674872396411,93.4894630920884,4.08368749569202e-22,1.0884749212915e-19,"microgliaBYo",18.9811218169264
"Ccl3",6.30583559924648,10.0966107013179,92.1838000450668,7.89887333017735e-22,2.05584440804134e-19,"microgliaBYo",79.1126009943546
"Rcan1",3.34772537201222,4.35298726786391,90.3665392251284,1.97884541092993e-21,5.09046477046544e-19,"microgliaBYo",10.1804213770094
"Egr2",4.92958998352534,6.16741188349148,90.3311785576543,2.01452908275746e-21,5.12269274687855e-19,"microgliaBYo",30.4757534436469
"Tnf",5.94915140704694,7.80086696384898,88.4497044968899,5.2143972008467e-21,1.29615853117226e-18,"microgliaBYo",61.7835732749462
"Hps4",3.49494590762018,4.13763997063868,88.0779576868443,6.29249444157808e-21,1.5467650503448e-18,"microgliaBYo",11.274143320701
"Gm29291",5.10299431530272,3.17253473386622,87.2393767333502,9.61503395465085e-21,2.31210213237762e-18,"microgliaBYo",34.3680076702205
"Fgd2",4.23986583823589,6.30048051722216,87.1430307647538,1.00950114986806e-20,2.40141870306787e-18,"microgliaBYo",18.8941254637316
"Siglech",8.17525743790481,8.14421659049134,86.6528620695618,1.29343252658343e-20,3.01206397743213e-18,"microgliaBYo",289.066464730016
"Daglb",2.96707674104154,4.75591279037434,86.0788750219452,1.72900007321984e-20,3.94336789895284e-18,"microgliaBYo",7.81950206171937
"Plau",4.30718936699872,5.90898815842436,85.9766381439762,1.82073965618701e-20,4.11022687896176e-18,"microgliaBYo",19.7967179898544
"Rilpl1",2.77815393282299,3.47968892738783,83.62327804339,5.98639966963414e-20,1.29840313618937e-17,"microgliaBYo",6.85974017528607
"Ccrl2",5.31005213070179,8.72795587701745,83.2695937980102,7.15923790589295e-20,1.53770699215602e-17,"microgliaBYo",39.6720798929603
"Tgfbr1",3.41784642944948,6.10621621131239,82.4902573900656,1.06192268618729e-19,2.21631279118127e-17,"microgliaBYo",10.6874549191183
"Ccr5",4.93886418321211,5.45637751768663,81.1118976471879,2.13291977581403e-19,4.40996114021811e-17,"microgliaBYo",30.6722943746654
"Xlr",4.17300684675459,2.94773435289867,80.0638381919011,3.62506434728343e-19,7.35755032614232e-17,"microgliaBYo",18.0384922013558
"Mlph",4.67625197706039,2.95088801477448,79.8453520508885,4.048916065637e-19,8.14310637455339e-17,"microgliaBYo",25.5677265236652
"Abcc3",4.96977834301318,3.88601665995596,78.9784863580807,6.27899922511563e-19,1.25144414285796e-16,"microgliaBYo",31.3366345636817
"Ier5",3.45407700255393,9.68069985734527,77.5985572619467,1.26262311811492e-18,2.45026414404003e-16,"microgliaBYo",10.9592487641885
"Gm12148",5.62986278803926,2.35461099220402,77.4330532737006,1.37298200777628e-18,2.64125921374213e-16,"microgliaBYo",49.5173700672154
"Gna15",4.65037252911466,4.9485487746413,77.3412796748381,1.43828345045948e-18,2.74302972194096e-16,"microgliaBYo",25.1131749569343
"1700017B05Rik",3.89853618730653,6.50706626947744,76.5507336929564,2.14627721703807e-18,4.05829836517379e-16,"microgliaBYo",14.913388500071
"AC160562.1",4.65247016324511,2.1646700072875,76.1127250126048,2.67925185937043e-18,5.02314312583492e-16,"microgliaBYo",25.1497152972452
"Tmem173",3.74565366149865,7.19140475924009,76.0847435224709,2.7174872594508e-18,5.05201433956555e-16,"microgliaBYo",13.4138703830796
"St6galnac4",2.64759569034596,5.61279995350911,76.0112287944807,2.82056272184189e-18,5.19994242460901e-16,"microgliaBYo",6.26622116548078
"Fam110a",3.34686490740716,4.83436076947935,75.9293046325965,2.94004338193205e-18,5.37541981309774e-16,"microgliaBYo",10.1743512927536
"Gm11545",4.06179205135997,2.39624872318429,75.8385724881887,3.07828749955023e-18,5.58204543873359e-16,"microgliaBYo",16.7001835172791
"Il1a",6.08789064969357,3.72036853483593,75.0798093063879,4.52065777923219e-18,8.13093593902064e-16,"microgliaBYo",68.0201673167066
"Pald1",5.61689506649034,4.29386161737532,74.999450656318,4.70845049857227e-18,8.40040728870278e-16,"microgliaBYo",49.0742755933871
"Tpbgl",6.67825038797322,5.95629988255807,74.3367878809947,6.58646032825533e-18,1.1564465225555e-15,"microgliaBYo",102.412669188567
"P2ry6",4.18241789541656,4.03019898708374,74.057631096287,7.58693780510167e-18,1.32162066978161e-15,"microgliaBYo",18.156546277544
"Fcgr1",4.07146329427083,5.81001263996476,73.6518316711238,9.31853335169177e-18,1.59809235146881e-15,"microgliaBYo",16.8125108577695
"Mylip",3.33741605950777,4.78341971591833,72.2812325654342,1.86613707545492e-17,3.03562871472715e-15,"microgliaBYo",10.107932705985
"Gm4065",4.74624997915161,2.40605198278038,72.1399585902851,2.00463172920214e-17,3.23711443395175e-15,"microgliaBYo",26.8388319265597
"Cst3",4.23821463138496,14.0349500198379,71.9973291016916,2.15488837132443e-17,3.45453590136307e-15,"microgliaBYo",18.8725129525928
"Itgb5",4.56654432552375,5.30416439527607,71.5955466114275,2.64152190374238e-17,4.17417064832091e-15,"microgliaBYo",23.6955513587174
"Cd86",3.18762942442103,4.40403713968031,71.1805687397782,3.25982795357948e-17,5.07867421246752e-15,"microgliaBYo",9.11112640211337
"Gm6277",3.80215536711315,2.46664901929667,70.8976321211021,3.76249259829285e-17,5.8208128497925e-15,"microgliaBYo",13.9496340195476
"Tmem86a",3.08106843378867,7.15300786512593,70.3095843497707,5.06908139226559e-17,7.73401983731666e-15,"microgliaBYo",8.46240911116027
"Entpd1",2.83186763228424,4.21094045337218,69.237993622406,8.72705821979171e-17,1.31339257820716e-14,"microgliaBYo",7.11995257820182
"Abhd15",3.02714019999864,3.65011249139576,69.1036084986014,9.34242686399612e-17,1.39650344264991e-14,"microgliaBYo",8.15192173195012
"Susd3",3.45478616676205,5.59886010784799,68.5090779544827,1.26294874136598e-16,1.86268100034931e-14,"microgliaBYo",10.9646371638327
"Cxcl16",4.06769776339499,5.73788222002647,68.3340974570987,1.38013772526201e-16,2.01454077721422e-14,"microgliaBYo",16.768686293551
"Adap2",3.50003308641177,3.73644068410799,68.1648249121174,1.5038458664866e-16,2.16036247430409e-14,"microgliaBYo",11.3139679677566
"Cd300c2",4.97472574636006,7.64052686465368,67.9651785332244,1.66408476833574e-16,2.37513208579945e-14,"microgliaBYo",31.4442810859937
"Gcnt1",3.36196650836679,4.26754630034157,67.2930196880718,2.34008452874551e-16,3.2974324859514e-14,"microgliaBYo",10.281412017797
"2610528A11Rik",3.56816501097736,1.97062425993635,67.1355441349575,2.53467077926853e-16,3.5490203575796e-14,"microgliaBYo",11.8610926357736
"Cd209f",4.87538462772131,3.09633923954775,66.9624611999949,2.76726657882762e-16,3.85032946688072e-14,"microgliaBYo",29.3519536766321
"Hpgd",4.10189995402692,5.23652307475013,66.679394534356,3.19456957126969e-16,4.41709141407496e-14,"microgliaBYo",17.1709737926278
"Icosl",3.5323542768488,4.97871282299469,66.3979646857888,3.68482419138944e-16,5.06331463267756e-14,"microgliaBYo",11.5702992796346
"Sgk1",3.3231298747692,5.30108196650712,66.3338469288155,3.80665628448581e-16,5.14674558022652e-14,"microgliaBYo",10.0083335738622
"Gm38843",3.86075039590461,4.18185446906677,66.1437833624092,4.19199723538957e-16,5.62057908112263e-14,"microgliaBYo",14.5278609663692
"Lbx2",3.96319089733284,3.22891455716504,65.6710526884537,5.328275165282e-16,7.05852883122956e-14,"microgliaBYo",15.5969377437225
"Thap8",4.95461255655252,3.08603609597268,65.47126618,5.89674787656527e-16,7.71915699841737e-14,"microgliaBYo",31.0089454059418
"Bcl2a1a",4.64695416859257,3.24847129543814,65.1449266740579,6.95873687488758e-16,9.00281496392619e-14,"microgliaBYo",25.053741562539
"Sparc",9.28522824770491,8.71139933566059,64.8466906195768,8.09579320360104e-16,1.04129786653061e-13,"microgliaBYo",623.924757863587
"Kcnk6",4.20592989719332,5.41823741811744,64.720812541823,8.62985086671711e-16,1.10357335678834e-13,"microgliaBYo",18.4548729080569
"Maf",2.58133104551465,4.34860497683072,64.2919521326495,1.07283066877496e-15,1.36403637271888e-13,"microgliaBYo",5.98491619430994
"Duoxa1",3.95957118003931,1.76393468441832,62.1272964723529,3.21957557252711e-15,3.95703724394541e-13,"microgliaBYo",15.5578541271035
"Ermap",4.10675242588871,2.39570937688514,61.9366670507043,3.54683207891115e-15,4.31134978471161e-13,"microgliaBYo",17.2288252077232
"Rasal3",4.53665922864357,5.99767452646489,61.8855771522552,3.64005948865211e-15,4.40049377417763e-13,"microgliaBYo",23.209752425106
"Rgs10",3.22300054071732,6.12166669963652,61.757783891658,3.88413071493498e-15,4.67003390252753e-13,"microgliaBYo",9.33726831412428
"Golm1",4.30907945102281,5.53095151782476,61.4978151015822,4.43234731498152e-15,5.30036862969384e-13,"microgliaBYo",19.8226707937911
"Hspa1b",3.70010234075967,8.99770447954887,61.3652531762073,4.74104060403967e-15,5.63903447758976e-13,"microgliaBYo",12.9969602770874
"Ltc4s",6.1752335650293,9.06084964163042,61.3048247761689,4.88880827301841e-15,5.78369547721851e-13,"microgliaBYo",72.2654203666114
"Slco2b1",8.27024775811679,5.7114935543989,60.78782413609,6.3569890218103e-15,7.36312398583818e-13,"microgliaBYo",308.739820102555
"Ccl7",4.96782150308691,5.22606288309418,60.7579830009451,6.45408611800492e-15,7.39812161599082e-13,"microgliaBYo",31.2941590524688
"Ly6g6e",3.66173991204936,2.11764011660873,60.6679292594866,6.75619128189456e-15,7.62587855762007e-13,"microgliaBYo",12.6559150146827
"Sall1",7.32281015203015,5.35171310602428,60.5703415445415,7.09956486697789e-15,7.93250876526019e-13,"microgliaBYo",160.097853177903
"Gm27168",4.25734119641512,2.74603685112138,60.2591467546804,8.31555144589133e-15,9.15248480783353e-13,"microgliaBYo",19.1243816464253
"AC101945.2",4.10335467581325,2.01405757961396,60.0104107976459,9.43569549489853e-15,1.03339550214673e-12,"microgliaBYo",17.1882966410506
"Rab20",3.33135617037549,3.02221917895429,59.3897513250976,1.29340930014797e-14,1.39580946083773e-12,"microgliaBYo",10.065564439336
"Cd14",5.02910213426038,9.69624435785267,59.0056248824236,1.57221886918272e-14,1.65629514490139e-12,"microgliaBYo",32.6520605865435
"Clcf1",2.88395427793653,3.31999863748984,58.3595479125326,2.18334460650005e-14,2.24661082463259e-12,"microgliaBYo",7.38170599561562
"C1qb",7.04220707850934,11.2415241744404,57.8938767083541,2.76646942249552e-14,2.80745885476461e-12,"microgliaBYo",131.800047358336
"C1qa",7.57607611622559,12.5328935461098,56.9655158219292,4.43521205854514e-14,4.32247561106582e-12,"microgliaBYo",190.820996912233
"Renbp",2.68295765744857,5.26106225198308,56.7819256986329,4.8692123133591e-14,4.7246308775633e-12,"microgliaBYo",6.42171063219407
"Siglec5",3.91504077158196,3.30025790325375,56.7472067525757,4.95594337207081e-14,4.78778756420622e-12,"microgliaBYo",15.0849788808375
"Slc7a8",3.4929277680799,4.08348842404184,56.7379136127292,4.97941958779413e-14,4.7895521539465e-12,"microgliaBYo",11.2583833110545
"Cables1",3.66016650610442,2.72318721316308,56.0447128156061,7.08414585443996e-14,6.78452635228465e-12,"microgliaBYo",12.6421199736059
"C5ar2",3.39414262830965,4.00318099929482,55.9550869621463,7.41456382684692e-14,7.07036187678165e-12,"microgliaBYo",10.513292335244
"Fam105a",3.77551015139298,6.34379679922487,55.625595880664,8.7674604226752e-14,8.28899687738647e-12,"microgliaBYo",13.6943620182
"Pmepa1",3.38575967610969,3.51613792231756,55.4187827508137,9.74012991569172e-14,9.16939974999353e-12,"microgliaBYo",10.4523807303429
"Klhdc8b",4.75991395039549,4.44295286720375,54.9604670840772,1.22978702652791e-13,1.14313354570912e-11,"microgliaBYo",27.0942339107199
"Kcnd1",4.17162120558274,3.74294369956264,54.9309996347325,1.24836401443497e-13,1.1555463218136e-11,"microgliaBYo",18.0211753898327
"Tspan33",2.97162665229634,3.15605957462072,54.6199546124064,1.46243140479187e-13,1.34246348415811e-11,"microgliaBYo",7.84420180817958
"Cst7",3.16603328980921,2.38854826158372,53.9347207921951,2.07262528147703e-13,1.87153833069862e-11,"microgliaBYo",8.97575495504284
