"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"Cyp2j12",2.94302775623367,0.439750469834919,7.60631888786402,2.19172486450014e-08,7.68723340189136e-05,9.16042289111036,"myeoligoBYo",7.69023537931813
"Klk6",4.90877864276607,0.61031643956591,7.37408978636025,4.00281304588289e-08,9.83935922378524e-05,8.60738477108405,"myeoligoBYo",30.0392865383531
"Sp7",4.08284410587608,0.627565751234124,6.78997859714901,1.87213884252579e-07,0.000276115517421321,7.18379991829199,"myeoligoBYo",16.9456621488904
"Itgb4",4.91550198238944,0.996052664692813,6.62056554662283,2.94884488237785e-07,0.000334695232387413,6.76281700484356,"myeoligoBYo",30.1796042459278
"Insc",2.55338113856874,0.435932052096594,6.57669096240222,3.31860507021898e-07,0.000334695232387413,6.65324302890214,"myeoligoBYo",5.87008396070062
"Hapln2",6.44005921758655,1.11551978228281,5.97906486811904,1.68737378482869e-06,0.000746595404835304,5.14071052393811,"myeoligoBYo",86.8262407970758
"Ndrg1",4.5704684874779,1.62022622692888,5.91881627030522,1.99107175792574e-06,0.000816836275351751,4.98641388794351,"myeoligoBYo",23.7600915103655
"Ppp1r14a",6.91576723628666,1.57045826060199,5.84409365939355,2.44553317578159e-06,0.000901708840796935,4.79466462503511,"myeoligoBYo",120.740614311308
"Gng13",2.84515052643911,0.789482694396736,5.76436510514881,3.04653321403211e-06,0.00108707184345213,4.58963084796722,"myeoligoBYo",7.18580868951477
"Gm21168",3.63766917868815,0.622209925007575,5.55476139624416,5.43751014561863e-06,0.00160392049268695,4.04872223892155,"myeoligoBYo",12.446508415426
"Gm33594",3.61306666294651,0.545867719495237,5.50505414326166,6.24013123406381e-06,0.00162230790982271,3.92010509944206,"myeoligoBYo",12.2360556042772
"Smtnl2",2.62000134065296,0.707262855138176,5.50009758443031,6.32642514088522e-06,0.00162230790982271,3.90727387565792,"myeoligoBYo",6.14750643784161
"Opalin",6.62844626043812,1.09703243278425,5.43765192173215,7.52208141040587e-06,0.00168947511797262,3.74553003437569,"myeoligoBYo",98.9375493969898
