"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Contrast","FC"
"Gm6145",4.41457046947329,0.425648499973357,25.2883365116936,3.00935254885558e-21,5.10003129743096e-17,36.8165122712026,"astroBYo",21.3264284159751
"4930432E11Rik",4.42813361013542,0.365205939973589,24.9010926673843,4.61061456170588e-21,5.10003129743096e-17,36.4650962769626,"astroBYo",21.5278689720242
"Gm20083",4.36051356707903,0.416353715410053,23.8094930856961,1.58700123666112e-20,1.04434784059023e-16,35.4354208724771,"astroBYo",20.5421255956224
"Gm13110",5.40195209359951,0.477958941934431,23.4872850685532,2.30836509224116e-20,1.04434784059023e-16,35.120003765096,"astroBYo",42.2814249528738
"Gm13325",4.62469418553746,0.352501368693596,23.468269316903,2.36032147672159e-20,1.04434784059023e-16,35.1012197181436,"astroBYo",24.6701432126273
"Ttll8",3.8275683071835,0.349934189264566,23.2285560260447,3.12924805089209e-20,1.1538059104981e-16,34.8627892879731,"astroBYo",14.1975324804443
"Lgr6",3.94941024865501,0.415875714875376,21.2687538366586,3.47968912607045e-19,1.09973089337224e-15,32.7934509479205,"astroBYo",15.4486647974119
"Gli2",3.11454696735716,0.286798525612582,20.330495714276,1.18298955506905e-18,3.27140974084908e-15,31.7211051008668,"astroBYo",8.66108019946651
"Gcnt4",4.66447925309587,0.566449964612498,19.1993143793528,5.53266129705228e-18,1.35998962082986e-14,30.3507158583426,"astroBYo",25.3599369423049
"Gli1",5.16212955311422,0.59723402548063,18.8088313213533,9.59672305020892e-18,1.96992080466327e-14,29.8567264235542,"astroBYo",35.8060024454501
"Mylk2",3.29627572315215,0.31921251478813,18.7944752862404,9.79484195240066e-18,1.96992080466327e-14,29.8383521743113,"astroBYo",9.82376277729687
"Phkg1",5.00800274514676,1.00086523746931,18.5538897747109,1.38225242447442e-17,2.54829753222063e-14,29.5281440859354,"astroBYo",32.1779998006927
"A030012G06Rik",2.95792778362692,0.216830828705142,18.4072892412305,1.70824917382281e-17,2.90704588249861e-14,29.3369840864679,"astroBYo",7.77007101145296
"Prdm16",3.07735105956759,0.398361640173488,18.1554035939625,2.46616211564002e-17,3.89706460602172e-14,29.0046993434505,"astroBYo",8.44063219591944
"Gli3",3.23768597864189,0.383485920721622,17.909716850589,3.54305459383294e-17,4.93523502890433e-14,28.6758391356109,"astroBYo",9.43279934304103
"Gm32200",2.92929278683881,0.322226528919559,17.9047405013235,3.56930617287299e-17,4.93523502890433e-14,28.6691289865872,"astroBYo",7.61736901329414
"Vnn1",3.42176183613226,0.338033615326453,17.6190779608925,5.46870196658307e-17,7.11671138863043e-14,28.2806231699686,"astroBYo",10.7164995656351
"Myom3",2.9548002266607,0.308375855761917,17.4996613313675,6.54774757372147e-17,8.04754553185778e-14,28.1162616774672,"astroBYo",7.753244851289
"A2m",4.44837484780152,0.526070082333432,17.2406881562665,9.7103823417236e-17,1.13064625550501e-13,27.7557934465013,"astroBYo",21.8320371236307
"Ccdc121",3.66192379955449,0.356721253407225,17.1947746122983,1.04184028534847e-16,1.15243163163821e-13,27.6913043372861,"astroBYo",12.6575282544147
"3110079O15Rik",3.89972094051924,0.47828272473711,17.0612102026368,1.27967950470608e-16,1.34811188964822e-13,27.5026956517798,"astroBYo",14.9256405292656
"Bmpr1b",3.29834027860259,0.398104302839,16.9950682957,1.41754606268052e-16,1.42547143384914e-13,27.4087369176849,"astroBYo",9.83783104627087
"Klri1",3.76671647643984,0.497711865008437,16.9166065007929,1.60116200804645e-16,1.54010900452224e-13,27.2967937083005,"astroBYo",13.6111444987232
"Cth",4.56299137441226,0.677126821094052,16.7921240607237,1.94435568695272e-16,1.72348359547134e-13,27.1181080346629,"astroBYo",23.6372676943593
"Oacyl",2.75918035132377,0.347804826960966,16.7910536936994,1.94761514653453e-16,1.72348359547134e-13,27.116565802864,"astroBYo",6.77011505206557
"Gm23675",3.0622093288051,0.204147288587007,16.4364451469222,3.4088951654752e-16,2.90057645176184e-13,26.6001209822129,"astroBYo",8.35250724410002
"Grm3",4.75267231575646,0.707574645352165,16.3701580682211,3.78906539599141e-16,3.10464791687103e-13,26.50234948064,"astroBYo",26.9585746556799
"Gm40578",2.56118593705375,0.328834969251706,15.8590784329855,8.66388926425918e-16,6.84540079261449e-13,25.7351633919927,"astroBYo",5.90192642989108
"Slc2a10",3.59873125384322,0.562117380213347,15.8209207929409,9.2236226765762e-16,6.91293749768106e-13,25.676920295313,"astroBYo",12.1150735131452
"Frem2",3.6428473858621,0.470220641694492,15.8110548917699,9.37432196946309e-16,6.91293749768106e-13,25.6618390466654,"astroBYo",12.4912624353781
"Celsr1",2.86901837298853,0.353145767981662,15.6942429335758,1.13642716005276e-15,8.11005743930554e-13,25.482583528457,"astroBYo",7.30567903867904
"Ephx2",4.43626979808497,0.607249373780527,15.4486227095924,1.70986021554327e-15,1.15764134779504e-12,25.1014468928786,"astroBYo",21.6496200089721
"P4ha3",4.61609519724167,0.568373672848801,15.4287642106723,1.76767569412087e-15,1.15764134779504e-12,25.0703795900291,"astroBYo",24.5235375127175
"C030018K13Rik",4.54337312014415,0.595492091665517,15.4249076920823,1.77913510034946e-15,1.15764134779504e-12,25.0643419157072,"astroBYo",23.3180157151401
"Slc14a2",2.33029854222248,0.238567634022141,15.1609654128998,2.77718963041358e-15,1.75542189124685e-12,24.6476880698355,"astroBYo",5.02909407946238
