"","astroBYo","AveExpr","F","P.Value","adj.P.Val"
"Gm6145",4.41457046947329,0.425648499973357,639.499963528656,3.00935254885558e-21,5.10003129743096e-17
"4930432E11Rik",4.42813361013542,0.365205939973589,620.06441602966,4.61061456170588e-21,5.10003129743096e-17
"Gm20083",4.36051356707903,0.416353715410053,566.891960997811,1.58700123666112e-20,1.04434784059023e-16
"Gm13110",5.40195209359951,0.477958941934431,551.652559891481,2.30836509224116e-20,1.04434784059023e-16
"Gm13325",4.62469418553746,0.352501368693596,550.759664730689,2.36032147672159e-20,1.04434784059023e-16
"Ttll8",3.8275683071835,0.349934189264566,539.565815055096,3.12924805089209e-20,1.1538059104981e-16
"Lgr6",3.94941024865501,0.415875714875376,452.359889764381,3.47968912607045e-19,1.09973089337224e-15
"Gli2",3.11454696735716,0.286798525612582,413.329055988194,1.18298955506905e-18,3.27140974084908e-15
"Gcnt4",4.66447925309587,0.566449964612498,368.613672637221,5.53266129705228e-18,1.35998962082986e-14
"Gli1",5.16212955311422,0.59723402548063,353.77213567512,9.59672305020892e-18,1.96992080466327e-14
"Mylk2",3.29627572315215,0.31921251478813,353.2323012851,9.79484195240066e-18,1.96992080466327e-14
"Phkg1",5.00800274514676,1.00086523746931,344.246825772121,1.38225242447442e-17,2.54829753222063e-14
"A030012G06Rik",2.95792778362692,0.216830828705142,338.828297210322,1.70824917382281e-17,2.90704588249861e-14
"Prdm16",3.07735105956759,0.398361640173488,329.618679659665,2.46616211564002e-17,3.89706460602172e-14
"Gli3",3.23768597864189,0.383485920721622,320.757957668271,3.54305459383294e-17,4.93523502890433e-14
"Gm32200",2.92929278683881,0.322226528919559,320.579732419735,3.56930617287299e-17,4.93523502890433e-14
"Vnn1",3.42176183613226,0.338033615326453,310.431908192008,5.46870196658304e-17,7.11671138863038e-14
"Myom3",2.9548002266607,0.308375855761917,306.238146712559,6.54774757372147e-17,8.04754553185778e-14
"A2m",4.44837484780152,0.526070082333432,297.241328101627,9.71038234172367e-17,1.13064625550501e-13
"Ccdc121",3.66192379955449,0.356721253407225,295.660273967739,1.04184028534847e-16,1.15243163163821e-13
"3110079O15Rik",3.89972094051924,0.47828272473711,291.084893578559,1.27967950470608e-16,1.34811188964822e-13
"Bmpr1b",3.29834027860259,0.398104302839,288.832346375509,1.41754606268052e-16,1.42547143384914e-13
"Klri1",3.76671647643984,0.497711865008437,286.171575502669,1.60116200804645e-16,1.54010900452224e-13
"Cth",4.56299137441226,0.677126821094052,281.975430470736,1.94435568695272e-16,1.72348359547135e-13
"Oacyl",2.75918035132377,0.347804826960966,281.939484144695,1.94761514653454e-16,1.72348359547135e-13
"Gm23675",3.0622093288051,0.204147288587007,270.156729067783,3.4088951654752e-16,2.90057645176184e-13
"Grm3",4.75267231575646,0.707574645352165,267.982075178543,3.78906539599141e-16,3.10464791687103e-13
"Gm40578",2.56118593705375,0.328834969251706,251.510368743585,8.66388926425918e-16,6.84540079261449e-13
"Slc2a10",3.59873125384322,0.562117380213347,250.30153473651,9.2236226765762e-16,6.91293749768106e-13
"Frem2",3.6428473858621,0.470220641694492,249.989456790559,9.37432196946309e-16,6.91293749768106e-13
"Celsr1",2.86901837298853,0.353145767981662,246.309261258093,1.13642716005276e-15,8.11005743930554e-13
"Ephx2",4.43626979808497,0.607249373780527,238.659943623336,1.70986021554327e-15,1.15764134779504e-12
"P4ha3",4.61609519724167,0.568373672848801,238.046765068524,1.76767569412087e-15,1.15764134779504e-12
"C030018K13Rik",4.54337312014415,0.595492091665517,237.927777309259,1.77913510034946e-15,1.15764134779504e-12
"Slc14a2",2.33029854222248,0.238567634022141,229.854872251143,2.77718963041358e-15,1.75542189124685e-12
"Celrr",2.68154917054404,0.303206631760481,225.285720195112,3.5955862794349e-15,2.16169189712078e-12
"Spata3",2.99464821729963,0.347174836627005,224.592585507611,3.74077538912262e-15,2.16169189712078e-12
"Gm9925",4.99880394271858,0.505197791079812,224.491280321312,3.76251529704548e-15,2.16169189712078e-12
"Crb2",3.79120534032758,0.580869161927183,224.26857235566,3.81078443193555e-15,2.16169189712078e-12
