"","preoligoBYo","AveExpr","F","P.Value","adj.P.Val"
"Slc22a6",-3.5956037950378,0.410554326371073,188.236865974687,3.37352469137232e-14,4.11875010550212e-10
"Dcn",-3.75780224360921,0.554549270183735,186.768112197899,3.72350052479512e-14,4.11875010550212e-10
"Mrgprf",-1.91594326996108,0.210534669391045,140.540127918045,1.24670130445242e-12,9.19359098613362e-09
"Slc6a13",-2.78786292476241,0.430093836004635,135.044344360474,2.01543053884535e-12,1.11468424527189e-08
"Col3a1",-4.64980491618589,0.743360873567877,128.791034232818,3.55202343228463e-12,1.57162828784866e-08
"Ucn",-2.29159345208009,0.308643211144892,111.380664371129,1.95591568648562e-11,7.21178712202022e-08
"Lum",-4.61513374098066,0.650888087023941,108.477390683177,2.65383018330568e-11,8.3872407350388e-08
"Fam180a",-2.82747049978971,0.35526020181838,100.532661573214,6.33167000681696e-11,1.75094419451015e-07
"Wnt10a",-2.82366801183054,0.402707376200975,92.7266120242742,1.57082654114336e-10,3.86126617441274e-07
"Gm36325",-2.86759898577915,0.372285745706577,88.7114481329899,2.56569951812834e-10,5.67609704395534e-07
"Gm18538",-1.71767894816292,0.139339859736962,84.6193046390096,4.30614413869289e-10,8.30906368598846e-07
"Gm47735",-1.49572092553692,0.115668264626393,84.2659795434363,4.5070182268165e-10,8.30906368598846e-07
"Sulf1",-1.7433961088634,0.306624784931894,81.7019907148186,6.3020835172778e-10,1.07246918194413e-06
"Lox",-2.51382369404556,0.590501101642811,81.1051160869791,6.8213208319474e-10,1.07791486260837e-06
"Tbx18",-1.94937777806887,0.319551874166056,79.6238241835211,8.31813779728822e-10,1.22681441659605e-06
"Cd70",-1.83585936767003,0.228717978119015,78.7579325963685,9.35285234228088e-10,1.29320720230175e-06
"6330420H09Rik",-2.81191710371343,0.337760142369105,78.1447813178977,1.01683827330991e-09,1.32326547767265e-06
"Fbln7",-2.25177584609048,0.473443958704224,75.6062090940023,1.44495608613883e-09,1.77593130520274e-06
"Prkg2",-2.15661136874988,0.344673614235924,72.2009373896123,2.34736064197783e-09,2.73319260434082e-06
"D13Ertd608e",-2.47507821350338,0.364224230106973,69.6296295552092,3.42401284488229e-09,3.78747180836655e-06
"5330416C01Rik",-3.89373230551261,0.580787671607834,68.5206361666799,4.04200320894799e-09,4.25815414245506e-06
"Col26a1",-1.98172548190592,0.384661648769634,64.2062439451721,7.85445227471823e-09,7.89836580334506e-06
"Plpp4",-2.60769067937417,0.509745233819096,63.290533064529,9.08037640996624e-09,8.73413770946448e-06
"Gm37374",-1.51076983877769,0.144701120322325,60.7870520851582,1.36025424273554e-08,1.23672728976917e-05
"Lhfpl3",-3.13575632539766,0.544512352230014,60.6219558043391,1.39755829879444e-08,1.23672728976917e-05
"Gm18688",-1.85549005261338,0.217696408755693,60.3248179141869,1.4674826310468e-08,1.24865839410186e-05
