"","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood","other","microglia","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"other",1,0.880584467064269,0.917414161443715,0.867577267862925,0.977640494825632,0.806890965538015,0.917414161443715,0.800288506400982,0.821732358271683,0.782887550970575,NA,0,0,0,0,0,0,0,0,0
"microglia",0.880584467064269,1,0.756819727916703,0.915319421289568,0.893843004202006,0.817359497522146,0.756819727916703,0.781454403265498,0.973187808850128,0.798220126614032,0,NA,0,0,0,0,0,0,0,0
"mouse_FVN_Swiss",0.917414161443715,0.756819727916703,1,0.615498957163938,0.947762091415806,0.555442499249092,1,0.541082961676623,0.639646984219145,0.532728912877883,0,0,NA,0,0,0,0,0,0,0
"mouse_C57BL6",0.867577267862925,0.915319421289568,0.615498957163938,1,0.812320004313638,0.931775968922637,0.615498957163938,0.920835901597631,0.938331182850336,0.91253474189258,0,0,0,NA,0,0,0,0,0,0
"No_data",0.977640494825632,0.893843004202006,0.947762091415806,0.812320004313638,1,0.69616509278345,0.947762091415806,0.680574917251173,0.819849412582887,0.764519415592841,0,0,0,0,NA,0,0,0,0,0
"5_months",0.806890965538015,0.817359497522146,0.555442499249092,0.931775968922637,0.69616509278345,1,0.555442499249092,0.993346012713934,0.837143793178138,0.729769051039131,0,0,0,0,0,NA,0,0,0,0
"cerebral_cortex",0.917414161443715,0.756819727916703,1,0.615498957163938,0.947762091415806,0.555442499249092,1,0.541082961676623,0.639646984219145,0.532728912877883,0,0,0,0,0,0,NA,0,0,0
"peritoneum",0.800288506400982,0.781454403265498,0.541082961676623,0.920835901597631,0.680574917251173,0.993346012713934,0.541082961676623,1,0.79961911812668,0.726222164854696,0,0,0,0,0,0,0,NA,0,0
"brain",0.821732358271683,0.973187808850128,0.639646984219145,0.938331182850336,0.819849412582887,0.837143793178138,0.639646984219145,0.79961911812668,1,0.817782585985766,0,0,0,0,0,0,0,0,NA,0
"blood",0.782887550970575,0.798220126614032,0.532728912877883,0.91253474189258,0.764519415592841,0.729769051039131,0.532728912877883,0.726222164854696,0.817782585985766,1,0,0,0,0,0,0,0,0,0,NA
