"","logFC","logCPM","LR","PValue","adj.P.Val","Contrast","FC"
"Nhlh2",11.1678192144739,5.24457323305348,233.374952104334,1.09482468218688e-52,2.42208064440203e-48,"neuronBYo",2300.63948796119
"Reln",10.0609827279845,4.14598852050891,187.523201462762,1.10403003164211e-42,1.22122281950092e-38,"neuronBYo",1068.21233100781
"Nxph4",7.87267238782781,3.5635693914575,165.343491279999,7.6961855083291e-38,5.67542373335882e-34,"neuronBYo",234.37459508714
"Lhx5",9.55740972509297,3.24567125994488,163.078346427731,2.40494674971456e-37,1.33011592359838e-33,"neuronBYo",753.471809332926
"Snhg11",8.67350336238127,7.86789379295675,162.243637776717,3.65983207569562e-37,1.61932930021228e-33,"neuronBYo",408.304982468857
"Plppr3",6.39899312919192,3.88259682113469,158.170406168913,2.84057664222901e-36,1.04736795093387e-32,"neuronBYo",84.3895894227173
"Tbr1",6.80095800826331,3.75217205121034,154.577482277197,1.73191929672257e-35,5.47360722877048e-32,"neuronBYo",111.504491046648
"Ecel1",7.64189257167466,3.45756145460002,143.669942519721,4.19520795318633e-33,1.16013231935427e-29,"neuronBYo",199.727969898912
"Slc17a6",8.65446409691659,2.79820615081422,135.873037290125,2.12705494052428e-31,5.22853738324652e-28,"neuronBYo",402.951975775268
"Grm2",6.82249994672858,3.37065674877017,134.524521416099,4.19507960579496e-31,9.2807746119002e-28,"neuronBYo",113.181938872732
"Stmn2",6.08790259763509,3.99330767225958,133.502806050842,7.01834280170758e-31,1.41151634365615e-27,"neuronBYo",68.020730640433
"Sp8",7.99092198458323,3.1588882759275,133.198904516467,8.17925350841534e-31,1.50791354472227e-27,"neuronBYo",254.394202855427
"Lhx1",8.62298711590575,3.03506140120802,132.569729628347,1.1229242970799e-30,1.91095801725373e-27,"neuronBYo",394.255512265275
"Syndig1l",7.27448706109345,2.56601982873709,132.33625145366,1.26306825010877e-30,1.99591849265403e-27,"neuronBYo",154.824187107809
"Sst",8.22447627958715,8.1308946627236,130.969369178889,2.5145661305299e-30,3.70864976704753e-27,"neuronBYo",299.098378625791
"Igfbpl1",7.16544182056048,2.78816063651509,126.935309362337,1.91928800948658e-29,2.65377553961698e-26,"neuronBYo",143.553213951197
"Trp73",8.61565352001224,2.60444979549799,124.145083663865,7.83037245503536e-29,1.01900782248675e-25,"neuronBYo",392.256493542531
"Gdf5",8.11535258575049,2.85742775995127,123.415239239944,1.13116664975913e-28,1.39026665514563e-25,"neuronBYo",277.30937607112
"Kcnk9",7.27895816746143,2.43406006080988,120.371122112418,5.24669622882115e-28,6.10908740369528e-25,"neuronBYo",155.304752413455
"Fibin",6.90585582736395,3.61353212529019,120.027734251294,6.23824001693616e-28,6.90042919473394e-25,"neuronBYo",119.91396125624
"Dpysl5",6.19879699256552,2.99916679573502,118.374221607039,1.43575878011433e-27,1.51253769011759e-24,"neuronBYo",73.4554175515702
"Scube3",7.13785803684674,2.50705013514311,114.76647338087,8.8532846873511e-27,8.90278259719402e-24,"neuronBYo",140.834603000615
"Celf6",6.92878218416669,2.42542850073493,113.562508142534,1.62477685089498e-26,1.56282340314564e-23,"neuronBYo",121.834776475672
"Dlx5",8.20023665241805,2.77284104337855,113.206537928641,1.94429374556344e-26,1.7922337722125e-23,"neuronBYo",294.11502006699
"P2rx5",6.7160696356522,2.77415485301946,112.051801154109,3.48095357682901e-26,3.08036543920753e-23,"neuronBYo",105.132844100264
