"","other","preoligo","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"0610009B22Rik",5.06959922433751,5.05239306868098,4.59618057164929,5.48168977598264,4.87000491278754,5.61418204218579,4.59618057164929,5.5740667402114,6.27836165269622,4.57416554219454
"0610009E02Rik",0.584702956609142,0.546945583904435,0.683524476634722,0.493514454998671,0.755562845009701,0.105398920331428,0.683524476634722,0.122961117075357,0.513962395372984,0.917730520132335
"0610009L18Rik",3.37898023905428,4.17865913217413,3.42409493381307,3.43946474278032,3.56093340393723,3.07852875890611,3.42409493381307,3.08087824847894,4.05010811905219,3.2591251596701
"0610009O20Rik",4.08216825779076,5.96596417684095,5.46130776684253,3.11089567725173,4.49171959558453,3.42685105862044,5.46130776684253,3.4205417217837,3.63376912199017,2.21644697907494
"0610010F05Rik",1.93997025394327,2.21600316785505,2.17776099226865,1.76640747214754,2.35925245599522,0.855952426778359,2.17776099226865,1.04933759190665,1.64476698367637,2.74853181690778
"0610012G03Rik",7.67082753849844,7.59586532898871,7.35581138810535,7.93709639390368,7.27373432548024,8.74409332192105,7.35581138810535,9.02206255923515,7.49608983455682,7.07614355485276
"0610025J13Rik",0.261670900101634,0.09671372531383,0.105342362169774,0.377838723943536,0.329884023592259,0.0328455168054636,0.105342362169774,0,0.863116941627373,0.345966974991942
"0610030E20Rik",4.44609399490215,4.96913575631535,4.36819404100722,4.57963667473686,4.95619057744584,3.1740888332603,4.36819404100722,3.30856152614718,4.48764156810526,6.19692195967608
"0610037L13Rik",4.60147840877258,5.83683219339462,5.22447899860406,4.21077211574778,5.19914109099422,3.26674447881857,5.22447899860406,3.36770803791006,5.14385581689225,4.28936530800857
"0610039K10Rik",0.879377791819986,0.238384269069164,0.634782848630337,1.01327417676708,0.947382907955712,0.532115341759036,0.634782848630337,0.305677638379382,2.64621603157795,0.229448168021442
"0610040B10Rik",1.82048987970588,2.40163484761543,2.17951891898983,1.57898259132112,2.20397004405036,0.911205669735962,2.17951891898983,0.895460472316181,2.07168755098654,1.90650417446163
"0610040J01Rik",2.24397369748763,3.39319339930162,1.89829238869455,2.69009730540833,2.63208220791194,1.46398021927429,1.89829238869455,0.811441616407056,4.75725093968683,2.87733049793135
"0610043K17Rik",0.254355546064713,0.0351262411272294,0.0847702804130126,0.375338990392765,0.289253017624696,0.103580173040388,0.0847702804130126,0.109929871506259,0.201415240782289,0.867753682667049
"1010001B22Rik",1.19762135769022,2.27569591069266,1.79665229012429,0.80822861093572,1.56887114029744,0.446203093770969,1.79665229012429,0.337187799576957,2.18170619550196,0
"1010001N08Rik",0.287922324311221,0,0.00333652518061363,0.500944608011601,0.00212324329675413,1.0018892160232,0.00333652518061363,1.33585228803093,0,0
"1110002E22Rik",0.210928375761834,0.103635148732658,0.258544370495853,0.15585272699092,0.26808186531898,0.0269329727223881,0.258544370495853,0.0359106302965175,0.2478875088187,0.207748461196422
"1110002J07Rik",0.816327581697046,1.83462006185679,1.5077033416146,0.338660351789157,1.20574601869231,0,1.5077033416146,0,0.137706171414805,0.946006954310498
"1110002L01Rik",1.35950411226476,1.44348362874373,1.3229445188637,1.40199119605055,1.81422785321726,0.130008703765128,1.3229445188637,0.173344938353504,1.59683199765627,2.6815259036813
"1110004E09Rik",2.91789410798353,4.56738546269869,3.79764847619571,2.35429545513727,3.35826125888386,2.11925728168639,3.79764847619571,2.20490587800971,2.55858775522208,2.32927064760552
"1110004F10Rik",3.30765686602989,3.84940258787603,3.31687708347454,3.36730739099658,3.44429960676719,3.06732575946382,3.31687708347454,3.23956606539798,3.46327309813153,3.42463127457996
"1110006O24Rik",2.52941201990226,3.17224290553454,3.30122700696818,1.93442776692361,2.88647249943781,1.70820342258754,3.30122700696818,1.78793046104511,1.85630882105853,2.1883434798429
"1110008E08Rik",0.109813053677751,0.170469100352835,0.143611093774261,0.08782177442769,0.155259259258304,0,0.143611093774261,0,0,0.281029678168608
"1110008F13Rik",3.40026276651979,4.43175896029173,4.42384736503711,2.63356326703863,4.69745486378334,0.0908585474880348,4.42384736503711,0.0847402678858392,2.9714187717165,5.35429536134411
"1110008L16Rik",1.04253966305053,1.11152059278663,1.00016647389543,1.08823881977825,1.23606673763445,0.527585440378773,1.00016647389543,0.622061987469878,1.17234966978036,1.56354016854618
"1110008P14Rik",1.56503722163968,2.97357579439753,2.93694196053308,0.540687896702695,2.2621906270321,0,2.93694196053308,0,0.331797781993279,1.39840348745534
"1110012L19Rik",4.82207376101389,4.74913388600238,4.59979826073823,5.00744733937865,4.54597970977139,5.56309743317788,4.59979826073823,5.77337063468105,5.02148586046322,4.0743008639312
"1110015O18Rik",0.553447776117618,3.07174946187078,1.23359421288227,0.273107354667689,0.945084870189551,0.106021188858094,1.23359421288227,0.0520456794452377,0.17239663643906,0.63909208316326
"1110017D15Rik",0.852760086464727,1.15646364485354,1.32681255161502,0.475927124256824,1.08616931859484,0.286810587704134,1.32681255161502,0.165342760318376,0.680643298505142,0.643912186734643
"1110018N20Rik",0.294130846786269,1.87831378303032,0.856592234005442,0,0.545104148912554,0,0.856592234005442,0,0,0
"1110019B22Rik",0.30345775214342,0,0,0.531051066250984,0.386218957273443,0,0,0,0,1.69936341200315
"1110019D14Rik",0.467733689338113,0.153388396672394,0.132806283971737,0.721502007450478,0.40033798459505,0.574485554215108,0.132806283971737,0.67182469398316,0.723918718083871,0.778698072977866
"1110020A21Rik",0.771989885541647,1.11953171327039,0.944078583425514,0.664855003359357,0.95400713627758,0.358327902950019,0.944078583425514,0.361521150004898,1.09074216389301,0.602968466851052
"1110025M09Rik",3.4221959963643,3.27265670213546,3.04835865810756,3.73061125556033,3.35089640273417,3.58088505528994,3.04835865810756,3.66877501494609,3.73250225133343,3.80292374852432
"1110032A03Rik",3.45806182543842,3.37870138198209,3.32854490662061,3.56146907397196,3.62329731883907,2.98382410772254,3.32854490662061,2.99816699363271,4.10716672851859,3.69173391583244
"1110032F04Rik",1.02986121066731,3.9474606930348,2.33651937808389,0.251235249473739,1.6362890320417,0.0915845724796062,2.33651937808389,0,0.14653531596737,0.657417482348596
"1110034G24Rik",1.72955279911704,1.51969605785987,1.44639143627209,1.95108689894923,1.781682878566,1.53373089531811,1.44639143627209,1.62094332568194,1.88004625361406,2.41829983220514
"1110035H17Rik",1.73806093065034,1.71948026636195,1.25682948649714,2.15681586124834,1.82874089259108,1.48404586924123,1.25682948649714,1.74229823951578,1.17243604573906,3.63861682283671
"1110038B12Rik",5.72985230110626,6.62293895892883,6.4057289428201,5.25009607183446,5.69381121489878,6.05223695263246,6.4057289428201,6.28820469193939,5.02747759742151,4.22698420212151
"1110038F14Rik",5.79702075285901,6.51542476527697,5.697668083074,5.97375484047314,5.77497593307383,6.03724501037276,5.697668083074,6.26271791374475,5.78406770660809,5.81668628641225
