"","endoBYo","AveExpr","F","P.Value","adj.P.Val"
"Gm32688",4.99624173265424,0.41653362851849,998.570026962849,5.40318151493597e-24,1.19534584654928e-19
"Madcam1",6.25295669675637,0.633538911060068,904.246477076276,2.18085788997651e-23,2.41235595499752e-19
"Gm13450",4.21832759274894,0.281221839516596,876.301571390576,3.3882675825152e-23,2.49862145759946e-19
"Ackr2",5.04017006679598,0.657846107075637,755.065751831508,2.72280790586e-22,1.24156062216824e-18
"Adgrl4",6.22027452330452,0.765273472161183,748.885971271196,3.05374199887845e-22,1.24156062216824e-18
"Slc19a3",4.53748160203848,0.536653426885715,743.659273976077,3.36724844415741e-22,1.24156062216824e-18
"Tek",4.93395349810876,0.514656225022842,725.562983939232,4.74763958846019e-22,1.5004575802215e-18
"Flt4",4.58467259140679,0.484784582644096,680.37964537115,1.16209794735378e-21,2.94951148469614e-18
"Pcdh12",5.89167518052184,0.616679597549824,677.660759358631,1.22863068894106e-21,2.94951148469614e-18
"Fgfbp1",6.34134803002213,0.667820552614333,673.689390122769,1.33323305369802e-21,2.94951148469614e-18
"Sema3g",5.29710896576004,0.680437784523886,615.696644827567,4.64816029289965e-21,8.73896202955036e-18
"Egfl7",5.5009775819239,0.562004593858221,614.82538746939,4.74020450909028e-21,8.73896202955036e-18
"Akr1c14",4.30764733117346,0.439382112252219,581.145297025531,1.03315644979228e-20,1.75819385682728e-17
"Rassf9",4.28877392758905,0.483451606808174,554.131697099728,1.99236330280041e-20,3.14836095341811e-17
"Abcc6",3.57665198610248,0.349726128944524,516.452711715503,5.24933733717218e-20,7.74207266068401e-17
"Abcb1a",5.48871575712808,0.725358255672418,502.562329745823,7.63130882149282e-20,1.05517153161178e-16
"Nos3",3.89210978458333,0.415418843549405,478.996460251701,1.4732208121407e-19,1.91718023688168e-16
"Fam124b",3.91625737070728,0.373105781312402,470.364872900575,1.88902097683681e-19,2.32171172614226e-16
"Emcn",3.77689908782079,0.426425725362465,466.862228396477,2.09210923302396e-19,2.43598592432574e-16
"Gm4246",-6.22207606346647,2.48883042538659,461.59681273568,2.44255813107467e-19,2.70183567668824e-16
"Adgrf5",5.94549923002385,0.740758950397513,440.160877888278,4.6703326156583e-19,4.92008421220041e-16
"Flvcr2",4.13342745101078,0.566402428442665,433.165415318759,5.80779552212326e-19,5.84026637890604e-16
"Gpihbp1",3.84114793701682,0.312258939493074,409.91093165563,1.22843017601055e-18,1.18158959929919e-15
"Foxl2os",4.05005158116129,0.393857055270831,397.265285064077,1.87758623221547e-18,1.73074334230429e-15
"Grb7",3.87215666750469,0.379638986975834,392.624389590531,2.20088097593001e-18,1.94760359321998e-15
"Cyp8b1",2.95148551372025,0.227122560323523,381.280672851585,3.26966226268345e-18,2.782105316821e-15
"Tnfsf10",3.74682274810408,1.08407917836846,379.702892113282,3.4577204617462e-18,2.83315369537819e-15
"Bvht",4.78799973083902,0.675691330458641,373.98682056686,4.24201620604087e-18,3.35164730450865e-15
"AU021092",7.57857725329066,0.920368002037034,357.604143357631,7.74826644252723e-18,5.79048947698038e-15
"Asb4",4.49915931460408,0.666964999554123,357.249370431575,7.8522209605122e-18,5.79048947698038e-15
"4930578C19Rik",3.4328994491759,0.351107222955732,350.947947433118,9.97000902378884e-18,7.11504869784776e-15
"Mmrn2",5.40784892513636,0.737438213949282,343.142045889611,1.34764823797167e-17,9.31688186520226e-15
"Igfbp7",5.47268889857584,0.983526868987977,337.057102869097,1.71209042875216e-17,1.14777504712982e-14
"Ushbp1",6.1356684665215,0.869151550243542,321.657592608232,3.19555285476209e-17,2.07927105311475e-14
"Ces2b",3.80525533503932,0.415897576983784,317.944568535666,3.72974153886602e-17,2.35751634469523e-14
"Cyyr1",3.00193533253331,0.434966578445841,315.573520952779,4.120275530601e-17,2.53202376565239e-14
"Nos2",2.82909822896697,0.325890252101684,310.392742687194,5.13418046682169e-17,3.06982363425666e-14
"Foxl2",4.86692357596981,0.587853936046198,304.831085554475,6.52653803484316e-17,3.79964739328514e-14
"Erg",3.07738511798161,0.335700156879405,297.470574672248,9.02218721924206e-17,5.11789353464851e-14
"Cdh5",6.20464029300329,0.940235201480284,289.725727506694,1.27867930111422e-16,7.07205554463747e-14
"Dok4",2.72599285846149,0.240607445885211,287.900263113052,1.38994049620483e-16,7.499915511595e-14
"Krtap9-1",2.35698933956864,0.157132622637909,279.605531358611,2.04326996877862e-16,1.07626813141165e-13
"Megf6",4.56787986450124,0.534866760831774,278.380126782133,2.16485033247108e-16,1.11379032337809e-13
"Trav14d-3-dv8",3.90358698806501,0.324505731580663,277.653911823618,2.24053467185822e-16,1.11842227640603e-13
"Clic5",2.61104118668661,0.338757275460974,277.332196105257,2.27496281870774e-16,1.11842227640603e-13
"Stra6",4.04085065162697,0.41063655355537,274.090577746879,2.65519542572724e-16,1.26244677947088e-13
"Tbx3",4.06260369181588,0.606839701183969,273.880709115258,2.68205029313978e-16,1.26244677947088e-13
"2010109P13Rik",2.75211370633509,0.183474247089006,268.336864630813,3.5077570644709e-16,1.6167106153602e-13
"Tbx1",4.52587598073978,0.505696198293422,262.521403098865,4.67381640672782e-16,2.11018041563346e-13
"Serpina3h",2.54974788456483,0.231449686673034,255.279732407261,6.73626035041563e-16,2.9805257546449e-13
"Zfp366",3.3954744220594,0.501473991415255,253.155462910585,7.512018208127e-16,3.25859566310576e-13
