"","astro","other","mouse_FVN_Swiss","mouse_C57BL6","No_data","5_months","cerebral_cortex","peritoneum","brain","blood"
"1110032F04Rik",5.12851686805725,0.945500055308563,2.33651937808389,0.251235249473739,1.6362890320417,0.0915845724796062,2.33651937808389,0,0.14653531596737,0.657417482348596
"1300002E11Rik",4.20907637326409,1.74423868889885,2.16778884242711,1.68173701510728,2.22355604170875,1.04232538976293,2.16778884242711,0.968683798314432,2.58972542311282,1.62941246725315
"1500009C09Rik",6.82830036707854,1.87773245584822,4.63125105155199,0.0872246735112066,2.98814528970022,0.0617391405627975,4.63125105155199,0,0.205889868208801,0.0732290870270604
"1600014C23Rik",3.5175724073205,0.136328057824108,0.775166459551144,0,0.493287746987092,0,0.775166459551144,0,0,0
"1700001O22Rik",3.69826558935846,0.593613649959309,1.6678516320891,0.0417369080206346,1.09171424443534,0,1.6678516320891,0,0.0982793747124403,0.0352787309535906
"1700003M07Rik",5.34126894426966,0.954708929508522,2.18217585607895,0.428995370604541,1.63058706818523,0.192684051837859,2.18217585607895,0.256912069117145,0.239711118220346,0.824779584773611
"1700007K13Rik",3.44743246527877,0.413306475252515,0.842347356871154,0.417161452589489,0.753978846797307,0.234988951010903,0.842347356871154,0,0.542641279691041,0.792275368595323
"1700016P03Rik",7.20757287270881,1.46488605612023,3.5290424113965,0.37658509732706,2.46141297895657,0.160108722467425,3.5290424113965,0,0.984030119371834,0.221042192074758
"1700025F24Rik",2.27238335948678,0.242488400696742,0.591467620496687,0.190868453220546,0.503383063200767,0.032501818508185,0.591467620496687,0.0433357580109133,0,0.558776140692651
"1700040D17Rik",4.34097100436435,0.946937336177719,1.82951628429017,0.598934965102652,1.43613233710261,0.450159500680927,1.82951628429017,0.538140553938536,0.387528482938505,0.883294740663738
"1700110C19Rik",6.2657750492412,2.42767120759634,4.03346667243349,1.50236315606944,3.5748745017644,0.232388109045375,4.03346667243349,0,2.89909801840314,1.90846408101906
"1810010H24Rik",5.46856368510423,1.94390135381887,3.31525863486797,1.18454652431158,2.76465337106266,0.567998889219786,3.31525863486797,0.168230828254034,2.44185463325762,1.14681725063459
"1810010K12Rik",1.41010843896834,0.0667296805643828,0.304918005323418,0.0262372412007214,0.213120360624518,0,0.304918005323418,0,0,0.0839591718423084
"1810062G17Rik",1.27178398937824,0.224064130157141,0.341808805148267,0.252002521942542,0.379486558227794,0.0585824177681193,0.341808805148267,0.0781098903574923,0.262350384852432,0.450325816934713
