"","meanx","meany","tvalue","FC","logFC","pvalue","Contrast","adj.P.Val"
"Gm22740",0,4.71543057151051,-4.00024177465228,Inf,Inf,0.155949207238948,"endoBYo",0.203086134610372
"Gm23675",0,8.22371091671432,-4.68703984466799,Inf,Inf,0.133819143528979,"endoBYo",0.177210637632683
"Gm24334",0,2.04008906919618,-52.2308244128138,Inf,Inf,0.0121870946892083,"endoBYo",0.0243115505689229
"Gm24765",0,6.45873598322475,-3.06749379233568,Inf,Inf,0.200621313158317,"endoBYo",0.243330335032974
"Gm27668",0,2.1760950071426,-53.1702813132663,Inf,Inf,0.0119718141493761,"endoBYo",0.023943160263323
"Gm5407",0,1.89494047010063,-3.54117442242402,Inf,Inf,0.175214058498774,"endoBYo",0.216938695778396
"Gm13325",0.0381047869391026,26.0934080008707,-13.5583754997594,684.780314939747,9.41949741962857,0.0446718026614455,"endoBYo",0.0716452291053472
"A030012G06Rik",0.0142687296606311,7.21720199506656,-7.3394504715167,505.805503833995,8.98243892529468,0.0859748126495329,"endoBYo",0.123203833414018
"Gm13110",0.104512676727678,47.7044055763847,-98.8723994763452,456.446118021504,8.83430075458184,1.37980401179326e-27,"endoBYo",4.36077202184318e-24
"Gm12052",0.0177548452055978,6.65096456838452,-3.11730876944689,374.599974900799,8.54920699269126,0.197518813674853,"endoBYo",0.240054316042893
"4930432E11Rik",0.0577585558192902,21.5544346882963,-17.2902091917869,373.18167642096,8.54373433999011,0.0341497131441713,"endoBYo",0.0571737629702211
"Gm9925",0.186805986725615,41.6593527544755,-13.6486010374031,223.008659865198,7.80095592369608,0.0363512539599589,"endoBYo",0.0601990262262273
"Gli1",0.2276836526432,46.1848779870861,-61.6732461262792,202.846701776442,7.6642460347421,2.60059425432679e-10,"endoBYo",5.57489793492942e-09
"Gm6145",0.108814255854589,21.6928420574557,-28.4044430529517,199.356618184702,7.63920769008745,0.0148373001023212,"endoBYo",0.0286602279021786
"Gm20083",0.1040561343396,20.7398559774979,-106.670730547869,199.314111648727,7.63890004789403,3.17441503033955e-31,"endoBYo",5.98009370411571e-27
"Ttll8",0.0754338070628525,13.8922557771152,-35.0594994532674,184.164850191638,7.52485392387923,0.0109177375093784,"endoBYo",0.0221675695894665
"Ppp1r3c",5.09812983185475,929.572422483812,-26.8508377288026,182.335964979853,7.51045534457223,1.61027201460224e-18,"endoBYo",4.31723925924591e-16
"Aqp4",8.33550401368339,1518.93138588565,-25.4985981033991,182.224300221343,7.50957154996399,1.93698002576429e-20,"endoBYo",8.57036182199668e-18
"Tnc",0.516233873755637,93.8469719070638,-20.1041536906179,181.791580673156,7.5061415752124,0.00728092576578922,"endoBYo",0.0157886611170903
"Pla2g3",1.36488398553203,238.398258775093,-35.0605646924075,174.665584256354,7.44845156039933,1.42968595323085e-24,"endoBYo",1.75716346351812e-21
"Itih3",1.84223111012556,312.502587106707,-29.2667008078313,169.632672789576,7.40627026257506,2.85424119363018e-13,"endoBYo",1.62743242079073e-11
"Paqr6",1.09456429980489,181.958021875031,-27.5900785880814,166.237855471319,7.3771051379598,2.81930066571751e-05,"endoBYo",0.000122153130880667
"Slc30a10",2.31555920455243,381.616436528564,-25.6527061326386,164.805303089767,7.36461885595007,3.13735734412207e-09,"endoBYo",4.55431473254676e-08
"Cyp4f15",0.789447266948551,125.269049008236,-18.6492286358333,158.679438453741,7.30997138686616,0.00766814600574773,"endoBYo",0.0164973640071144
"Itga7",0.994763780554101,155.55524551494,-26.3438956501503,156.374054379315,7.28885734996824,0.000596767433710712,"endoBYo",0.00181275380145298
"Cbs",1.37297485823718,214.492355861195,-32.5594798335742,156.224532863326,7.28747721598889,1.40186643567211e-13,"endoBYo",8.78569154571504e-12
"Nat8",0.399270259148014,61.7496464444417,-25.4413372694934,154.656263595006,7.27292145368662,0.00344279740274792,"endoBYo",0.00831586493514491
"Fgfr3",8.47542161022057,1308.47073250136,-20.0280779368824,154.384146615606,7.27038080265711,2.4702615198302e-10,"endoBYo",5.32647130635512e-09
"Aldh1l1",0.561089510647908,82.6925008892917,-49.3369537535494,147.378447324392,7.20338174940648,2.05219696495079e-28,"endoBYo",9.08015069112127e-25
"Gm10688",0.0136734083691974,1.99277833463243,-7.25391588040271,145.741155447506,7.187264523429,0.0852982425905216,"endoBYo",0.122460131586343
"Gm37427",0.0252620813035629,3.64652072570055,-54.9991153935311,144.347596774865,7.17340327829876,0.00192649518680355,"endoBYo",0.00507923406240674
"Gli2",0.0583039943470232,8.30266048324703,-24.0089359957257,142.402944707869,7.15383516944641,0.0229586459399536,"endoBYo",0.0411866788947124
"Nwd1",1.1133499211687,157.420231713451,-35.954225676588,141.393311051934,7.14357006140392,6.45975230707168e-24,"endoBYo",6.21343914301508e-21
"Gcnt4",0.220838515932678,30.3965646382455,-48.0993993231293,137.641590778992,7.10477266086302,0.000115111825781591,"endoBYo",0.000424083084390697
"Lgr6",0.119846146983351,16.4396672911506,-16.0564035815937,137.173098217621,7.09985376404414,0.0359641564277799,"endoBYo",0.0596517493366153
"Gm30437",0.250216122738756,34.2879342729369,-18.8772370402969,137.033273066645,7.09838242646401,0.0139159561136308,"endoBYo",0.0271675518092
"Gdpd2",1.67207721951784,227.359873131397,-29.7926670962633,135.97450552969,7.08719236923737,2.9196523373311e-22,"endoBYo",1.89974907819929e-19
"Ccdc121",0.0967392668847634,12.8233730593204,-61.0053180633572,132.556028924591,7.05045847825079,2.89230122642384e-08,"endoBYo",2.98026921435373e-07
"A2m",0.197791932350262,26.1066167049406,-16.7945676665026,131.990301094331,7.04428811119785,0.0291536677798601,"endoBYo",0.0501217432618779
"Otx1",0.91408292412628,120.010650891349,-36.576552758749,131.290769933221,7.03662168453075,7.17101130966755e-25,"endoBYo",9.91526770023595e-22
"Entpd2",1.84953952018289,234.776281549742,-20.9454131271221,126.937693943693,6.98797672854148,0.00010154093369224,"endoBYo",0.000378498749127789
"Atp13a4",0.323664547533665,40.7837847535517,-20.495197223386,126.006339169136,6.97735250491122,0.0129948237512692,"endoBYo",0.0256278221565919
"Aifm3",1.89654523562143,234.725287264367,-17.8706733229555,123.764665801634,6.9514556808307,0.00303341456858118,"endoBYo",0.00747224479464664
"P4ha3",0.245548356384574,29.7773016276383,-37.5646885745981,121.268584591955,6.92206204919048,0.000320051856184546,"endoBYo",0.00104756727539144
"Slc6a11",2.35655727176225,285.741535887675,-26.2607577660436,121.253804994094,6.92188621014648,6.16814819152488e-16,"endoBYo",7.97999663398274e-14
"Vnn1",0.0888336739076256,10.6419503761571,-9.07668771514813,119.79635545889,6.90444020773978,0.06778140029796,"endoBYo",0.100971229859322
"St6galnac5",0.023569406404941,2.82314694478491,-13.4258167155133,119.780146189557,6.9042449879886,0.0442039995282838,"endoBYo",0.0710443212178876
"Fmo1",0.919620431838567,109.661986218987,-45.7789759296115,119.247009333779,6.89780927425767,3.68827250746282e-24,"endoBYo",4.07978263413e-21
"Slc25a34",1.31133120403237,155.2058946768,-13.5850364761306,118.357508918829,6.88700742720601,0.0225132445603912,"endoBYo",0.0405355668112261
"Mylk2",0.0814831566414564,9.20132566799384,-38.677099772402,112.923038910749,6.81919604905997,0.00476513117478454,"endoBYo",0.0109631822868738
"Grm3",0.358888397272536,40.0573745144828,-38.5767557433039,111.615128320974,6.80238877316459,0.000175692790185472,"endoBYo",0.000616178122586112
"Slc4a4",0.743560595421652,81.9775806347278,-37.157364265798,110.250033607874,6.78463528533898,4.26475944709042e-20,"endoBYo",1.65525040785932e-17
"Ephx2",0.281711989852452,30.8739060853608,-13.3637490182737,109.593866067011,6.77602324316122,0.0378794209596681,"endoBYo",0.0622775289752332
"3930402G23Rik",0.200660167458708,21.2030426474889,-9.32485079169981,105.666425559283,6.72337323751141,0.0617757850175133,"endoBYo",0.0933706150128064
"Gm45518",0.790160553910084,82.1490179884271,-42.4785887980616,103.964969627901,6.69995369258903,1.68609009529971e-26,"endoBYo",4.14459679759061e-23
"Notch3",0.472023940116211,47.7573723219891,-38.9004382422151,101.175741870701,6.66071961737616,5.15781902840586e-12,"endoBYo",1.98445965852909e-10
"Slc7a10",7.14425832027018,707.682252194134,-19.6875997125717,99.056083986528,6.6301736824972,1.97282073672567e-10,"endoBYo",4.3864033325208e-09
"Gm17660",0.086411937247998,8.38399810604001,-5.78636389329647,97.0236100826943,6.60026395563535,0.10763562358179,"endoBYo",0.147307324497367
"Fzd10",2.89153687510646,278.813184980463,-13.9724403055621,96.4238731938005,6.59131847655328,0.00583175207591736,"endoBYo",0.0130490392612036
"Egfr",0.292137051233602,28.1563866955394,-58.3484680330934,96.380745190122,6.59067305054025,5.74467632803323e-30,"endoBYo",4.23631581350264e-26
"3110079O15Rik",0.18231459924577,17.5157704179018,-30.8606901633528,96.0744256925334,6.58608054215243,0.00491523388095832,"endoBYo",0.0112718688865389
"Cth",0.332260226862445,31.6359111008302,-42.3585113458625,95.2142584129618,6.5731057293593,8.69077316225548e-05,"endoBYo",0.000329787263582467
"Myom3",0.0826233312162011,7.78931467840363,-8.88390993098094,94.2750015491541,6.55880336396108,0.069973084019321,"endoBYo",0.103803822193617
"Sox9",10.0432981039279,942.330856648895,-19.7097531362439,93.8268332670876,6.5519286688565,7.79314531586495e-16,"endoBYo",9.64138214163831e-14
"Ccdc80",1.3359187895314,123.957016921011,-38.1298548027638,92.7878385215997,6.53586382206846,3.56669860868755e-25,"endoBYo",6.57550610999956e-22
"2900052N01Rik",0.580855899948929,53.1062148776804,-14.3520149849723,91.4275208056761,6.51455659445468,0.0238395025885501,"endoBYo",0.0424912436163788
"Cyp4f14",0.379831095996461,34.6115099483693,-8.98382371943486,91.1234238407162,6.50975005028745,0.0608078109126078,"endoBYo",0.0921468046317982
"Dio2",6.82986588192676,620.005192662093,-17.5081275081514,90.7785311425743,6.50427923958013,8.8841315989381e-06,"endoBYo",4.4077964423258e-05
"Gm11627",0.782785521735383,70.7162075561979,-30.5790962221709,90.3391869070659,6.49728002382304,4.80781540667825e-08,"endoBYo",4.64874563994506e-07
"Mlc1",6.74285220320277,605.175484352709,-21.9675560730185,89.7506672421587,6.48785075943169,8.59776070010401e-19,"endoBYo",2.47023714244677e-16
"C030018K13Rik",0.298591570793026,26.5522591565163,-22.3611927879925,88.9250124710368,6.47451736650119,0.00754411321602576,"endoBYo",0.0162684878329406
"Phkg1",0.652691331447456,57.7474333330544,-12.9159583102795,88.4758699108037,6.46721213644697,0.0391744758377424,"endoBYo",0.064101843857868
"Gm973",0.0333884245400706,2.85456182900839,-22.8253327166678,85.4955532742353,6.41777748054626,0.0250555071146157,"endoBYo",0.0442415982038984
"Chrdl1",0.343000624371532,29.3020746103105,-19.5009929514224,85.4286334434512,6.41664779943095,0.0126498103075807,"endoBYo",0.0250561154476325
"Grhl1",0.590617407107527,50.1521945499705,-30.6360971801395,84.9148601894152,6.40794514390204,0.000312241244723112,"endoBYo",0.00102533962550236
"Prss56",10.0178129490883,831.451329257749,-9.02872939908328,82.9972902751609,6.37499233049869,0.0229838802347625,"endoBYo",0.041221919937872
"Ppp1r3g",0.910253613807677,74.4160451307555,-18.3088790329584,81.7530894708192,6.35320134635447,0.00634706763480685,"endoBYo",0.0140277171440245
"Cybrd1",0.572839705196008,46.5375846972192,-7.7505191386862,81.2401519571612,6.34412103303987,0.0729077167936962,"endoBYo",0.107521993108922
